title,lowScore,highScore,review
Hammer Dropper,2.5,,
House Guildmage,3.5,,
Hypothesizzle,3,3.5,
Ionize,2,2.5,
"Izoni, Thousand-Eyed",3,,
Join Shields,3,4,
Justice Strike,3,,
Knight of Autumn,3.5,,
"Lazav, the Multifarious",4,,
League Guildmage,3.5,,
Ledev Champion,2.5,,
Legion Guildmage,2,,
March of the Multitudes,4,,
Mnemonic Betrayal,3.5,,
Molderhulk,3,,
Nightveil Predator,4,4.5,
"Niv-Mizzet, Parun",4.5,,
Notion Rain,2.5,,
Ochran Assassin,2.5,3,
"Ral, Izzet Viceroy",4.5,,
Rhizome Lurcher,2,,
Rosemane Centaur,2.5,,
Skyknight Legionnaire,2.5,3,
Sonic Assault,1,,
Sumala Woodshaper,1.5,2,
Swarm Guildmage,2,,
Swathcutter Giant,3,3.5,
Swiftblade Vindicator,2.5,,
"Tajic, Legion's Edge",3.5,,
Thief of Sanity,3.5,,
Thought Erasure,2,,
Thousand-Year Storm,1,,
Trostani Discordant,4,4.5,
Truefire Captain,2,,
Undercity Uprising,3.5,,
Underrealm Lich,4.5,,
Unmoored Ego,0.5,,
"Vraska, Golgari Queen",4,,
Wee Dragonauts,3,,
Worldsoul Colossus,3,,
Fresh-Faced Recruit,2,,
Piston-Fist Cyclops,2.5,,
Pitiless Gorgon,2.5,,
Vernadi Shieldmate,1.5,,
Whisper Agent,2,,
Assure // Assemble,3.5,,
Connive // Concoct,2.5,,
Discovery // Dispersal,2,,
Expansion // Explosion,2,,
Find // Finality,3.5,,
Flower // Flourish,3,,
Integrity // Intervention,3,,
Invert // Invent,2,,
Response // Resurgence,4,,
Status // Statue,3.5,,
Boros Locket,2,,
Chamber Sentry,2,0,
Chromatic Lantern,3,,
Dimir Locket,2,,
Gatekeeper Gargoyle,3.5,,
Glaive of the Guildpact,2.5,,
Golgari Locket,2,,
Izzet Locket,2,,
Rampaging Monument,2.5,,
Selesnya Locket,2,,
Silent Dart,2,,
Wand of Vertebrae,1.5,2,
Boros Guildgate,2,,
Dimir Guildgate,2,,
Gateway Plaza,2.5,,
Golgari Guildgate,2,,
Guildmages' Forum,3,,
Izzet Guildgate,2,,
Overgrown Tomb,3,,
Sacred Foundry,3,,
Selesnya Guildgate,2,,
Steam Vents,3,,
Temple Garden,3,,
Watery Grave,3,,
