title,color,lowScore,highScore,set,rarity,instant,removal,face,fixing,review,imageUrl
Dwindle,blue,2.5,,m19,common,,removal,,,"This is an odd version of Deep Freeze, but at least the creature can't really be used to block all that well. I like including this in controlling blue decks and those with flyers, though it's passable in blue decks that attack on the ground if you need some interaction.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Dwindle.png
Essence Scatter,blue,3,,m19,common,instant,,,,"The difference between 2 and 3 mana on a counterspell is huge, and that's why Essence Scatter gets an ""always play"" grade and Cancel is marginal at best. It's odd seeing this, Cancel, and Bone to Ash all here, but that doesn't change my desire to take and play Essence Scatter.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Essence Scatter.png
Exclusion Mage,blue,3.5,,m19,uncommon,,removal,,,"This ability is now apparently excluded from being common, which may be for the best. Getting this at 3 mana is a rare (uncommon?) treat, and it fits into any blue deck regardless of how aggressive or controlling it is. This helps you come back when behind and really puts you ahead if you have the upper hand, so take it early and take it often.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Exclusion Mage.png
Frilled Sea Serpent,blue,2,,m19,common,,,,,"While the name may lack flair, this card certainly doesn't. It blocks well and can close out the game when needed, making it a card I want one of in any control deck. It's not even the worst aggro finisher in the world, though I wouldn't prioritize it highly.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Frilled Sea Serpent.png
Gearsmith Prodigy,blue,1,,m19,common,,,,,"1-drops tend to fall off a lot worse in Limited than Constructed, as your curve isn't so tight that you get to take full advantage. This also looks to be a Constructed card for text-box reasons, and I'd recommend staying away from this unless you somehow pick up 7+ artifacts and are playing a very aggressive deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Gearsmith Prodigy.png
Ghostform,blue,1,,m19,common,,,,,"If you can reliably get 5 points of damage out of this and are playing an aggressive deck, I could see playing one copy of this. I'll need to see more of the format before fully forming an opinion on such a niche card, but as-is this doesn't impress me.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ghostform.png
Horizon Scholar,blue,3.5,,m19,uncommon,,,,,"Seeing this next to Cloudreader Sphinx makes me realize how absurd of a common the Cloudreader is because Horizon Scholar was (and is) a sick uncommon bomb. I'd rather have a Cloudreader, but I'm not complaining about the Scholar, and will take and play this almost every time I see it. It's even splashable!",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Horizon Scholar.png
Metamorphic Alteration,blue,0.5,,m19,rare,,,,,"There are two main reasons this card falls short for me: (1) It doesn’t trigger enters the battlefield effects. Most clone cards do, as you play the creature, copy something with a sweet ETB effect, and profit. This doesn’t because the creature isn’t entering the battlefield. (2) It opens you up to a 2-for-1. It’s all well and good to make something into a 4/4 flyer but if they kill it, you are down a card.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Metamorphic Alteration.png
Mirror Image,blue,3,,m19,rare,,,,,"Mirror Image, on the other hand, is fine. It's cheap enough that you'll be able to slot it in when it's convenient, and on average will be better than a random 3-drop. It does need a lot of creatures surrounding it-ideally good ones-but that's a doable quest. I like the name, too-it's very evocative, and captures this effect really well, making it basically the perfect name for this kind of effect.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mirror Image.png
Mistcaller,blue,0.5,,m19,rare,,,,,"A swing and a mist. This might be a plausible sideboard card against a deck with multiple cards that this hoses, but that seems like a stretch to me.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mistcaller.png
Mystic Archaeologist,blue,3.5,,m19,rare,,,,,"Make no Mystic, this card is awesome. It's barely a 2-drop because you don't really want to risk it in combat, but it can attack or block in a pinch. Mostly it wins you any game where you've stabilized enough to use the ability, as you'll pull far ahead of the opponent once you start digging into your library.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mystic Archaeologist.png
Omenspeaker,blue,3,,m19,common,,,,,"I like an early blocker that is relevant at any point in the game, so this speaks my language. It helps you find your third land or avoid drawing your seventh, which is a nice range to have.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Omenspeaker.png
Omniscience,blue,0,,m19,mythic,,,,,"Instead of casting this, cast whatever else you have many turns earlier.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Omniscience.png
One with the Machine,blue,0,2.5,m19,rare,,,,,"Most decks will be none with the machine, but a deck with 5+ artifacts that cost 3 or more might be in the market. It is highly unlikely you'll end up there, so don't take this unless you already have all the artifacts you need.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/One with the Machine.png
Patient Rebuilding,blue,3.5,,m19,rare,,,,,"Now this is a build-around I can get behind. Patience is key, as it doesn't kill the opponent very quickly, but providing a path to victory and slightly more than one extra card per turn is a powerful combination of abilities. This is perfect for a control deck, and as long as you can defend yourself (which is easier given all the extra cards), you will eventually win the game.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Patient Rebuilding.png
Psychic Corrosion,blue,1,2,m19,uncommon,,,,,"The mill deck doesn't look very strong in M19, and it doesn't take a psychic to predict that half-milling the opponent is useless. Don't play this unless you have a ton of support, and I'm not sure where that support would come from.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Psychic Corrosion.png
"Sai, Master Thopterist",blue,2,3.5,m19,rare,,,,,"The floor on Sai is pretty high, and not just because he knows how to make flying machines. A 1/4 for 3 isn't a blank, and if you get even one Thopter off of this, you've come out ahead. You may not utilize the sacrifice part very often, but I'd play Sai even if I had only a few other artifacts.","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sai, Master Thopterist.png"
Salvager of Secrets,blue,3,,m19,common,,,,,"It's no secret that recurring removal spells is good, and creatures with this effect have always been great. This is no exception, and Salvager at common makes me think that there's a good removal-based control deck lurking in blue that I can't wait to delve into. Can you imagine getting back Divination with this??",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Salvager of Secrets.png
Scholar of Stars,blue,1.5,3,m19,common,,,,,"Don't play this without artifacts, but treat it like an all-star if you have five or more (especially ones that stick around, like Equipment). This is a solid reward for being in an artifact deck, and something you should be able to pick up late if you're interested.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Scholar of Stars.png
Sift,blue,3.5,,m19,uncommon,,,,,"The power of card draw should not be underestimated. There's a huge difference between this costing 4 and a single blue and Weight of Memory costing five and double blue, which is why I am giving this a much higher grade. Sift not only pulls you ahead in the late game, it's cheap enough to still count as draw-smoothing and can salvage your bad draws. This got moved up to uncommon for a reason.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sift.png
Skilled Animator,blue,1.5,3,m19,uncommon,,,,,"Given that this is a 1/3 base, it's not the end of the world if you don't end up with a ton of targets. When it does hit, you'll run away with the game quickly, and this is a solid payoff for having a couple of cheap artifacts in your deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Skilled Animator.png
Sleep,blue,2,3.5,m19,uncommon,,,,,"I'm giving this a split rating because Sleep is a consistently overvalued card, and I want the rating to reflect how it is not a bomb unless your deck is aggressive. This is a fine early pick and a real beating if your deck wants to attack, which some blue decks certainly will. But it's quite poor in a controlling deck, and plenty of blue decks would rather just have a Sift or Divination instead. Don't assume that this is always a bomb because sometimes it won't be what your deck is looking for.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sleep.png
Snapping Drake,blue,2.5,,m19,common,,,,,"There's nothing wrong with Snapping Drake, and I'm never unhappy including one in my deck. It doesn't block all that well, so some controlling decks will pass, but the vast majority of decks will want this.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Snapping Drake.png
Supreme Phantom,blue,2.5,3,m19,rare,,,,,"A 1/3 flyer for 2 is a fine deal, so it only takes a few other Spirits before this becomes sweet. This isn't a first-pick card I'd build a deck around-it's more of a nice addition to a deck with lots of spirit.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Supreme Phantom.png
Surge Mare,blue,3,,m19,uncommon,,,,,"I really like Surge Mare. It's a nice combination of being a good blocker, solid attacker, and value-added loot ability. It's not a bomb but it is a workhorse, and any blue deck will want what this offers. It's even got a little extra value against green, which is the color most able to block this early.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Surge Mare.png
Switcheroo,blue,1.5,,m19,uncommon,,,,,"I was never a huge fan of this. Sometimes you get to trade a 1/1 for a 5/5, but paying a lot of mana to be down a card isn't exactly what I'm in for. It gets better if your deck can make tokens, so if you can do that this is a fine late pickup.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Switcheroo.png
"Tezzeret, Artifice Master",blue,4.5,,m19,mythic,,,,,"Making a Thopter each turn is a nice ability, and Tezzeret starts with enough loyalty that you'll frequently be able to take the first hit and build up a blocking force. He can even draw extra cards if 1/1 flyers won't do the trick, and the ultimate is a real thing if they can't attack his loyalty.","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Tezzeret, Artifice Master.png"
Tolarian Scholar,blue,1,,m19,common,,,,,"Where's your Wizard build-around now?? Now that Tolarian Scholar isn't subsidized by Academy Journeymage and company, there's really no reason to run this.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Tolarian Scholar.png
Totally Lost,blue,1.5,,m19,common,instant,removal,,,"Paying 5 mana for this effect isn't exactly where I want to be, but I'm not totally against this. Most decks will want one of these, but multiples is a bit heavy on the curve.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Totally Lost.png
Uncomfortable Chill,blue,2,,m19,common,instant,,,,"Despite -x/-0 effects being mediocre on average, this is priced to move. It's a solid combat trick that can net one or more extra cards, and a fine inclusion in most decks (especially defensive ones).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Uncomfortable Chill.png
Wall of Mist,blue,1.5,,m19,common,,,,,"I'm not too interested in spending my turn 2 on this, so I'm likely out unless I have a lot of Divinations.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Wall of Mist.png
Windreader Sphinx,blue,4,,m19,rare,,,,,"Odd stats aside, this is a great 7-drop. It blocks well, and rewards you mightily for attacking. It also draws cards right away in a deck with flyers, making it a pseudo ETB effect, which is nice on such a high investment card.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Windreader Sphinx.png
Aegis of the Heavens,white,1,,m19,uncommon,instant,,,,"There's not a huge functional difference between +1/+3 and +1/+7. Either way, your creature is probably going to live and you're not making it hit a whole lot harder. This is a marginal combat trick with some flashy numbers.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Aegis of the Heavens.png
Aethershield Artificer,white,2,3.5,m19,uncommon,,,,,"By virtue of being a 3/3 for 4, you can't go too wrong with this. I'd play it if I had any artifact creatures at all, and once you get to 3+ it becomes one of the better cards in your deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Aethershield Artificer.png
"Ajani, Adversary of Tyrants",white,4,,m19,mythic,,,,,"Ajani continues the rich tradition of his bloodline by being great when ahead and mediocre when behind. If you are already pressuring the opponent, this will almost assuredly win you the game. If they are ahead on board or have a flyer you can't stop, this buys you some life and distributes some counters. I'd always play this, but would bias toward aggro and cheap creatures to really maximize it.","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ajani, Adversary of Tyrants.png"
Ajani's Last Stand,white,2.5,,m19,rare,,,,,"This card is interesting. In a creature-heavy deck, it will be a 4/4 flyer for 4 with a small delay, which is something I'm into. It's especially great if you curve into it, and if you can play this on 4 after deploying a couple of  creatures. On the flip side, it's a really bad topdeck and quite mediocre in creature-light decks, so I wouldn't prioritize it but will be happy when it makes the cut. It's also a beating against discard, making it a sick sideboard card against anyone attacking you in that manner.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ajani's Last Stand.png
Ajani's Pridemate,white,3,3.5,m19,uncommon,,,,,"There's enough incidental life gain in the set that I think this is baseline just a good playable. In a deck with recurring life gain, it becomes a reliable big threat, which is a lot for just 2 mana.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ajani's Pridemate.png
Ajani's Welcome,white,1,3,m19,uncommon,,,,,"Ajani's Welcome is anything but that, but in a heavy life gain deck it can be a source of constant triggers for your payoffs. This is a card I predict gets overplayed, and I can already feel it wearing out its welcome from here.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ajani's Welcome.png
Angel of the Dawn,white,3,,m19,common,,,,,"If this core set plays like they usually do, a 3/3 flyer for 5 is already fine, and the mass pump + vigilance is the cherry on top of an already-delicious sundae. Take this, play it, and try to be a curve-out white deck to make it the best it can be (I've said that a lot and we are still on ""A"", so take note).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Angel of the Dawn.png
Cavalry Drillmaster,white,2.5,,m19,common,,,,,"A 2-drop that has utility later in the game is a delight, and there's a reason I always grade these highly-you need some number of early plays in any deck just to be functional, but the cost is that you draw them later. With cards like this, that cost is mitigated, and you aren't sad when you get to drill something on turn 7.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Cavalry Drillmaster.png
Cleansing Nova,white,3.5,,m19,rare,,removal,,,"I doubt the second clause will come up much, but extra flexibility is nice. A 5-mana Wrath of God in a straightforward format is a card I'm pretty happy about, even if I don't think it's a bomb. It does pair nicely with life gain, as you can stall the opponent and make them over commit, and I would play this in any white deck, as even aggressive ones can fall behind.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Cleansing Nova.png
Daybreak Chaplain,white,2,,m19,common,,,,,"The statline on this makes me hesitant to play it outside of a life gain deck, though it makes a pretty nice sideboard card against some aggro decks. It just doesn't hit hard enough, so you really need to care about the lifelink for it to be worth it.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Daybreak Chaplain.png
Dwarven Priest,white,2.5,,m19,common,,,,,"Not only is this great in a life gain deck, it's not bad in a normal deck either. It comes up a little short in aggro, but most control decks will be happy to run this as a defensive measure. You want to have a decent number of creatures, as gaining 3+ life is where you want this to land.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Dwarven Priest.png
Gallant Cavalry,white,3,,m19,common,,,,,"This is basically Call the Cavalry, though slightly better because you can bounce this or get it back from the graveyard (Goofus bounces his own token-Gallant bounces the Cavalry for maximum value). This is a good addition to any white deck, and only starts to lose some luster once your 4-drop slot is full.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Gallant Cavalry.png
Herald of Faith,white,3.5,,m19,uncommon,,,,," Herald of Faith is a beating. Half-lifelink is still plenty, and a 4/3 flyer is no joke.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Herald of Faith.png
Hieromancer's Cage,white,3.5,,m19,uncommon,,,,,"Oblivion Ring for 4 mana is still a highly-desirable Limited card. Handling anything is huge, and this does so easily (also, that Minotaur looks like it's going to lead with ""despite all my rage…"").",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Hieromancer's Cage.png
Inspired Charge,white,1,3,m19,common,instant,,,,"When this is good, it's great, but most decks will leave it on the sidelines. Aggressive decks with 17+ creatures want this effect, and basically nobody else does.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Inspired Charge.png
Invoke the Divine,white,1,,m19,common,instant,removal,,,"Now that we aren't in Dominaria (or are we? I'm not sure where the core set even lives), maindecking artifact/enchantment kill doesn't seem right. This is a great sideboard card, and likely maindeckable in Sealed, but not where I'd want to be in Draft.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Invoke the Divine.png
Isolate,white,0,,m19,rare,instant,removal,,,"In some extremely isolated circumstances, your opponent has 4+ cards that cost 1 mana, and maybe this is a sideboard card. Given that this is a rare, that seems highly unlikely to ever line up.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Isolate.png
Knight of the Tusk,white,1.5,,m19,common,,,,,"I asked one of the most successful Team Limited competitors of our time (Andrew Baeckstrom) about this card, and all he said was, ""thicc."" I guess that just about sums it up. If you need something expensive, here you are, and it's even a Knight to boot.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Knight of the Tusk.png
Knight's Pledge,white,1,,m19,common,,,,,"I really hope this ends up being bad. If Auras have gotten so playable that a vanilla +2/+2 gets there, we are not living in a world I'm happy about. The inherent risk of card disadvantage when you put this on a creature is not worth the upside, and I'm going to operate under the assumption that this format has enough removal that this won't cut it.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Knight's Pledge.png
Knightly Valor,white,3,,m19,uncommon,,,,,"This, on the other hand, does work out quite nicely. There's nothing like getting a free token to make up for that risk, and Knightly Valor also gives vigilance alongside that. It's a little weird seeing this and a 2/2 that makes a Knight, but Knights are a theme of the set.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Knightly Valor.png
"Lena, Selfless Champion",white,4.5,,m19,rare,,,,,"A 6-drop that more than doubles your team is a large threat, and she even can sacrifice herself to protect your team in the event of a disaster. Lena really rewards going hard on assembling an army, and is far from the last card to push that strategy. It is funny that the Selfless Spirit protects your board better than the Selfless Champion-who's the real MVP there?","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lena, Selfless Champion.png"
Leonin Vanguard,white,2,,m19,uncommon,,,,,"I like this less as an attacker and more as a recurring source of life gain. It can sit there and gain 1 a turn once it has some friends, and there are plenty of cards that pay you off when it does that.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Leonin Vanguard.png
Leonin Warleader,white,4.5,,m19,rare,,,,,"White has some nice token makers this time around. Leonin Warleader is a 4/4 for 4 that comes with some nice backup when it attacks, and plays perfectly with combat tricks and mass pump spells while also enabling life gain payoffs. This is one of the few cats I'd actually like, since everyone knows that dogs are vastly superior.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Leonin Warleader.png
Loxodon Line Breaker,white,1.5,,m19,common,,,,,"Do you need stats? If yes, sign on the dotted line.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Loxodon Line Breaker.png
Luminous Bonds,white,3.5,,m19,common,,removal,,,"At no point will this common slot not be the best, and Luminous Bonds is firmly where it was the last time we saw it (in the lead).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Luminous Bonds.png
Make a Stand,white,1,3,m19,uncommon,instant,,,,"This is effectively Inspired Charge, but it trades a point of power for infinite toughness. That's not as good a deal as it sounds, given the goal of these cards, but either one of these will usually do the trick.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Make a Stand.png
Mentor of the Meek,white,4,,m19,rare,,,,,"It's very hard to lose if this survives, and the cost is low enough that you aren't taking a huge risk when you play it. It should change your Draft order to maximize its value, but most white decks will be happy picking this up, even in pack 3. Note that it works quite well with token-making cards, as you don't need to cast the creatures.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mentor of the Meek.png
Mighty Leap,white,1.5,,m19,common,instant,,,,"I think I called this medium leap last time I saw it, but even if I did, I'm running it back.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mighty Leap.png
Militia Bugler,white,1.5,3,m19,uncommon,,,,,"Much like Augur of Bolas, this will give you a lot of information about the bottom of your library. It seems easy enough to get 8+ targets into your deck, as power 2 or less is simpler than cost 2 or less, and at that point this is a fine deal.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Militia Bugler.png
Novice Knight,white,2.5,,m19,uncommon,,,,,"I like this in control decks even if it never attacks, and beatdown decks once you have 4+ Auras or Equipment that you were planning on playing anyway. Don't use this to justify playing bad Auras, but do use good Auras/Equipment as a justification for playing this.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Novice Knight.png
Oreskos Swiftclaw,white,2,,m19,common,,,,,"When you want to beat down, you won't be turning down 3 power for 2 mana.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Oreskos Swiftclaw.png
Pegasus Courser,white,3.5,,m19,common,,,,,"This overperformed in Dominaria, and this looks to be a lower-powered format, which makes the Courser even better. It will often be the best thing going on, and that's high praise for a card that only costs 3 mana.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Pegasus Courser.png
Remorseful Cleric,white,3,,m19,rare,,,,,"I wonder if this is remorseful about how much better it is in Constructed than Limited. Even if you discount the sacrifice ability, this is still a 2/1 flyer for 2, which is a fine deal.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Remorseful Cleric.png
Resplendent Angel,white,5,,m19,mythic,,,,,"A big part of power level is opportunity cost-what am I giving up or risking when I play this card? When the card in question is a 3/3 flyer for 3, the answer is ""nothing,"" and that's what pushes this from a 4.5 to 5.0. This card is absurd, and you should slam it every time you see it in pack 1. In pack 2, strongly consider switching, and in pack 3, start counting how many cards you'll be short if you switch to white.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Resplendent Angel.png
Revitalize,white,1.5,,m19,common,instant,,,,"If you end up in the life-gain-matters synergy deck, this is a fine addition. If you don't, only play this if you're very short cards.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Revitalize.png
Rustwing Falcon,white,1,,m19,common,,,,,"Honestly, this card is probably a 1.5-if you have a few ways to pump it, and are an aggressive deck, you could do worse. I'm not getting on my soapbox here because there is a difference between a 1/1 and a 1/2, and I suspect that I'll end up playing this card.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Rustwing Falcon.png
Shield Mare,white,2.5,,m19,uncommon,,,,,"If you're the life gain deck, bump this up a notch, and also factor in that it's got some extra value against red. If the format ends up being very fast, this also could be great, as it does gain you a lot of life if the opponent has to spend a spell on it.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Shield Mare.png
Star-Crowned Stag,white,3,,m19,common,,,,,"In an aggressive deck, this may edge toward a 3.5, as it's very hard to block. Between this and Pegasus Courser, white beatdown has some all-stars.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Star-Crowned Stag.png
Suncleanser,white,1.5,,m19,rare,,,,,"This is a clean and elegant answer to the now-banned energy deck in Standard, or something. In Limited, this will play as a 1/4 for 2, and every now and then will knock some counters off an Ajani's Pridemate.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Suncleanser.png
Take Vengeance,white,2.5,,m19,common,,removal,,,"Aggressive decks aren't very interested in vengeance, as they are more proactive than that. Control decks will play this, though having to get hit by something before killing it is a real drawback. This gets worse in multiples as a result, though the combo of this and Star-Crowned Stag is real, and may make this sick in aggro decks that have two Stags.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Take Vengeance.png
Trusty Packbeast,white,1.5,,m19,common,,,,,"Somehow the Packbeast carries more than an Excavation Elephant, judging by how often the ability works. This is a good card in artifact-themed decks, and is filler everywhere else.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Trusty Packbeast.png
Valiant Knight,white,3.5,4,m19,rare,,,,,"By itself, this is a substantial threat. Once you add in 3+ other Knights, it becomes extremely powerful, and worth building around. +1/+1 and double strike is a lot of damage, and remember that the double strike ability applies to Valiant Knight as well.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Valiant Knight.png
