title,imageUrl,lowScore,highScore,review,color,set,rarity,instant,removal
Grim Captain's Call,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379456/large/145787_200w.jpg?1505504689,1,3,"Can I call this Tidings, or is that too much? In a deck where you are only getting one creature back, this is unplayable, but it gets pretty good once you are up to two or three reliably. Most decks won't be that diverse, but if you get the mixed bag tribal deck, this will make things grim for your opponent. Drawing three creatures for 3 mana is awesome, and if you get the full four I think you should get to declare victory.",black,xln,,,
Heartless Pillage,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379530/large/145789_200w.jpg?1505504818,2.5,,"I'm a fan of Mind Rot in general, and Mind Rot with a Treasure attached is a great deal. Even in decks with few creatures, this will have high points, and midrange decks can make very good use of this card. I wouldn't always slam it in aggro since discarding two isn't an effect they care about a ton, so this is not quite an auto-play.",black,xln,,,
Kitesail Freebooter,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377652/large/144958_200w.jpg?1504729698,3,,"A Duress with a 1/2 flyer attached is much more interesting, even if it's not a complete freeroll, as the opponent can get their card back with a removal spell. Still, I'd always maindeck this, especially in Pirate/raid decks, and side it out if I saw that my opponent didn't have many targets.",black,xln,,,
Lurking Chupacabra,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378915/large/chupa.png?1505510216,2,,"I love that there is now a (the) Chupacabra, as it's a sweet piece of lore to exist in Magic. The game play is solid too, and I'd play this in any deck with 3+ ways to explore. Once you are at 5+, it becomes awesome, though it sucks if you aren't triggering the ability at least once.",black,xln,,,
March of the Drowned,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379472/large/145791_200w.jpg?1505504716,2.5,,"I'm a big fan of this card. It's elegant, it plays well, and it's powerful in the right deck, while not being a total miss if things don't line up for it. I'd play this in any deck with 4+ Pirates, and if you have some awesome creatures, you can just run it as Raise Dead without feeling bad.",black,xln,,,
Mark of the Vampire,http://crystalcommerce-assets.s3.amazonaws.com/photos/863136/large/markofvamp.jpg?1373813655,1.5,,"Slamming this on an evasive creature or something with hexproof is a big game, and does go a long way in making up for the inherent weakness of Auras (they open you up to getting 2-for-1'd by removal and are dead if you don't have a good target). I think this will make its mark in decks with specific targets, and is a fine sideboard card against removal-light opponents. Likewise, feel free to take it out against decks with ample removal and bounce.",black,xln,,,
Queen's Agent,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379489/large/145796_200w.jpg?1505504744,2,,"This is an explorer that really wants to get that +1/+1 counter, especially since you don't really need lands once you've already hit six. I like this as high end, though it can be outclassed by Dinosaurs fairly easily. I also like adding more lifelinkers to the Vampire clan, as it gives you more and more incentives to run pump spells.",black,xln,,,
Queen's Bay Soldier,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377543/large/144862_200w.jpg?1504650158,1.5,,"If you need a 2-drop Vampire, old Bay here has your back. It's not the spiciest addition to your deck, but it's playable if your curve is in need of help.",black,xln,,,
Raiders' Wake,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379118/large/145605_200w.jpg?1505405662,1.5,,"While this can make things look grim for the opponent, it does take a fair amount of work to do its thing. You have to be in a position to attack the opponent each turn, while spending 4 mana on a card that doesn't affect the board at all. For each game that this dominates (which will happen), I suspect there will be multiple games where it does little to nothing. Overall I'm willing to try it as a finisher/high end in a low-curve raid deck, but I'm not high on its prospects.",black,xln,,,
Revel in Riches,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375452/large/142012_200w.jpg?1503948944,0.5,,"You have to go real deep before this is a legit win condition, and getting a Treasure each time a creature dies isn't worth 5 mana. Obviously I'm going to try and win the game via the Mr. Moneybags route, but I revel in that sort of thing, and can't in good conscience recommend it.",black,xln,,,
Ruin Raider,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375457/large/142013_200w.jpg?1503948956,3.5,,"Greatness at a very low cost-all you need to do is attack with a 2-drop and play this on 3 to get great value, and I'd play this in any deck with a reasonable amount of creatures. Note that it isn't optional, but attacking is. This is better in aggressive decks (duh) but it's powerful enough and cheap enough that it's good outside of them too.",black,xln,,,
Ruthless Knave,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379119/large/145606_200w.jpg?1505405665,2.5,,"The stats on this make it playable, and the ability gives you a decent way to spend your time and mana. It gets quite a bit better in a token-based deck or one full of Treasure generators, but the rate of exchange is never so efficient that you really feel like you're getting away with anything. It at least isn't sorcery speed, so blocking and sacrificing can be a good way to get value.",black,xln,,,
Sanctum Seeker,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377656/large/144967_200w.jpg?1504729712,4,,"I'm in for a non-hasty Hellrider that has the upside of being larger and draining the opponent instead of just pinging them. You do need to draft around it, but given how many Vampire tokens there are running around, that seems quite doable. This is also playable all by itself, so don't expect to see it late even if your neighbors aren't in Vampires.",black,xln,,,
Seeker's Squire,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379498/large/145798_200w.jpg?1505504759,3.5,,"Cheap explore creatures are great, and this is no exception. It's either a 2/3 for 2 that scryed, or a 1/2 that draws a card. That's all you can ask from a 2-drop, and no deck would ever cut this.",black,xln,,,
Skittering Heartstopper,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378359/large/145271_200w.jpg?1504901309,1.5,,"This is a cheap raid enabler and a way to handle large creatures, though it's inefficient against small or medium threats. I like it as a sideboard card against Dinos, or a way to make sure your raid cards are active (though watch out for clever opponents blocking and making you spend a mana).",black,xln,,,
Skulduggery,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379538/large/145799_200w.jpg?1505504832,3,,"I really like how this is going to play. It rewards good combat decisions, and can even pick up a 2-for-1 if you get to kill a 1-toughness creature and win a fight. I'd maindeck up to two without a second thought, even if sometimes you do need to side them out.",black,xln,,,
Skymarch Bloodletter,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379539/large/145800_200w.jpg?1505504833,3,,"An efficient flyer with a drain 1 attached sounds good to me, and I don't imagine this will be riding the sideboard very often. I suppose some control decks might not be looking for this level of aggression, but pretty much everyone else will.",black,xln,common,,
Spreading Rot,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379540/large/145801_200w.jpg?1505504835,0.5,,"Besides rotting in your hand, this will also rot in your sideboard. I do see some value in siding this against the rare flip lands, but past that it's a pass.",black,xln,,,
Sword-Point Diplomacy,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379543/large/145802_200w.jpg?1505504840,1,,"Even in the most aggressive deck, this has a pretty bad fail case. The opponent can let you have ineffective or mediocre cards (or lands), and only pay life if they really need to stop something. In any deck that isn't attacking, this is worse than useless.",black,xln,,,
Vanquish the Weak,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379544/large/145803_200w.jpg?1505504842,3,,"This hits targets in every deck and does so at instant speed, which is a deal I'll take for 3 mana. Much like every other conditional removal, there is some risk when you have multiples, but unless I was completely smothered in these, I wouldn't worry about it.",black,xln,,,
Vicious Conquistador,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378920/large/Vicious-Conquistador-Ixalan-Spoiler.png?1505510491,1,,"A single 2/2 and this has to stop attacking, which makes it significantly less vicious than advertised. This is more of a Constructed card than a Limited one, though I can see it making the cut (slash?) in very aggressive Vampire decks.",black,xln,,,
Vraska's Contempt,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375469/large/142014_200w.jpg?1503948981,4,,"Extra unconditional removal that even gets around all sorts of things is well worth 4 mana, and this gains you 2 life to boot. I'm in.",black,xln,,,
Walk the Plank,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377551/large/144888_200w.jpg?1504650176,4,,"Unless you're unlucky enough to play against the all-Merfolk deck, this is going to be excellent. It's cheap, basically unconditional, and certainly an early pick.",black,xln,,,
Wanted Scoundrels,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377661/large/144978_200w.jpg?1504729727,3.5,,"Every now and then, this is going to backfire, but most of the time it's going to be great. The drawback becomes smaller in the late game, and the early game power here is hard to ignore. As long as you don't play against the deck full of Lightning Strikes, this is a wanted card indeed.",black,xln,,,
Ancient Brontodon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379420/large/145670_200w.jpg?1505504602,1,,"I get it-this is huge, and dreams of smashing with ginormous Brontodons is very appealing. That doesn't change the fact that this costs 8 mana, has no protection from removal, and does nothing if it gets bounced or killed. If you really need a ramp payoff, certainly nobody else will, and you can pick up ol' bronty just fine.",green,xln,,,
Atzocan Archer,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379422/large/145726_200w.jpg?1505504608,3,,"I like the combo of a solid defender and a nice little ping ability. This will pick off 2/1s, stop 3/3 flyers, and can even trigger your 2/3 or 3/2 enrage creatures (being able to fight your own creatures is uncommon).",green,xln,,,
Blinding Fog,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379426/large/145727_200w.jpg?1505504620,0.5,,"I'm not a big fan of fogs in general, and this can't even save you from dying to an alpha strike (only prevents damage to creatures). It does protect your creatures from removal, but that's not enough to blind me to how bad this is.",green,xln,,,
Blossom Dryad,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379427/large/145728_200w.jpg?1505504623,2.5,,"As long as your curve has a decent amount of 5+ drops, this is a fine addition. In a beatdown deck, I'd leave it by the wayside, but otherwise I'm in.",green,xln,,,
Carnage Tyrant,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375439/large/142022_200w.jpg?1503948906,4,,"Apparently this is a lot more mythic than Scaled Behemoth, but I guess being uncounterable and getting trample goes a long way. Regardless of the rarity symbol, this will cause carnage, as it's impossible to stop except via combat, and big enough that it's hard even with creatures. It's nice being able to tap out and slam this, and know that almost nothing can go wrong.",green,xln,,,
Colossal Dreadmaw,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379432/large/145730_200w.jpg?1505504640,2.5,,"This is slightly worse than Carnage Tyrant, mainly because of the worse stats and the lack of great abilities. It's still a perfectly acceptable finisher, and a card I'll play multiples of in a ramp deck. It doesn't even sound bad to play one in a red-green beatdown deck, as a 6/6 trample is no laughing matter for the opponent.",green,xln,common,,
Commune with Dinosaurs,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378351/large/145263_200w.jpg?1504901294,2,,"In a deck with 10+ Dinosaurs, this provides a good amount of flexibility. A 1 mana spell that can find you lands or threats, depending on what you need, is valuable. The price is that you need Dinosaurs, or this becomes a glorified land, but once you pay that price this is a good addition. It also has what I assume is a playtest name that somehow slipped through, but that doesn't affect game play.",green,xln,,,
Crash the Ramparts,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379433/large/145732_200w.jpg?1505504643,1.5,,"Crash the Ramparts lives up to its name, as it will let you crash through for the final points of damage effectively. It's expensive enough that you don't get a ton of value in the early/midgame as you end up spending your whole turn on it, so I wouldn't prioritize it. You want one of these to finish things off, but aren't going to feel too bad if you don't get it.",green,xln,,,
Crushing Canopy,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379434/large/145734_200w.jpg?1505504645,0.5,,"Two sideboard cards in one-hooray. This is mainly for flyers, but it's nice that it can also hit enchantments if need be.",green,xln,,,
Deathgorge Scavenger,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379435/large/145737_200w.jpg?1505504648,3,,"Deathgorge Scavenger is oozing with value. It's a 3/2 that will often gain 2 life right away, and can attack as a 4/3 or gain additional life over the course of the game. It's not a bomb, since the buff isn't permanent and it does require cards in graveyards, but it's a nice value creature that you will always play.",green,xln,,,
Deeproot Champion,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375441/large/142023_200w.jpg?1503948911,1.5,3.5,"In the right deck, this could be one of your best cards, though green-based spell decks are few and far between. Most of the time this will play as a 1/1 that becomes a 2/2 or 3/3 eventually, which is fine if you are Merfolk and probably not good enough otherwise. I'd want 10 or more spells before I started really getting excited here.",green,xln,,,
Deeproot Warrior,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379436/large/145738_200w.jpg?1505504652,2.5,,"While strictly a beatdown card, Deeproot Warrior does its job, and does its job well. It gets in without fear, and will be a sought-after part of any aggressive strategy. This is a good card to be aware of since it's quite the on-the-board trick if you block with a 2/2. I expect its kill count to be high at the prerelease.",green,xln,,,
Drover of the Mighty,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377650/large/144950_200w.jpg?1504729693,3.5,,"This may seem like a mighty high grade, but a mana Elf (Druid) that becomes a relevant body later is a really big deal. Cards that are great on turn 2 and still solid later are prized possessions, and this works well even in non-Dinosaur decks.",green,xln,,,
Emergent Growth,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379443/large/145740_200w.jpg?1505504668,1,,"Your opponent can toss their worst creature in front of this, making it an expensive and slow removal spell. It's also susceptible to bounce and other instant-speed interaction, making me skeptical that I'll ever play it.",green,xln,,,
Emperor's Vanguard,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375445/large/142024_200w.jpg?1503948919,3.5,,"This hits pretty hard, as getting through even once adds a ton of value. It's also a solid 4/3 for 4, so you aren't even paying for the ability. I'd take this, and I'd prioritize ways to get it through once I had it.",green,xln,,,
Grazing Whiptail,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378354/large/145266_200w.jpg?1504901300,3,,"Grazing Whiptail is the definition of solid playable. A 3/4 reach for 4 is a good defender and decent attacker, and it's even a relevant creature type.",green,xln,,,
Ixalli's Diviner,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379466/large/145745_200w.jpg?1505504706,2.5,,"I'm reasonably happy with this no matter what the outcome is. Explore is a powerful mechanic, and an 0/3 that draws a card or a 1/4 with ""scry"" is certainly worth 2 mana (though I wouldn't run this in aggressive decks).",green,xln,,,
Ixalli's Keeper,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379467/large/145747_200w.jpg?1505504708,1.5,,"Alongside other 2/2s for 2, this is fine if that's what you're in the market for. The ability costs a ton, so you really are just playing this because you are keeping your curve in mind.",green,xln,,,
Jade Guardian,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379531/large/145749_200w.jpg?1505504819,2.5,,"I'm actually in for this. It's a 3/3 hexproof for 4 at worst, and there are plenty of Merfolk that could use +1/+1 counters. I also like that Mark of the Vampire and One With the Wind give you some sick combos, allowing you to build a gigantic Jade Golem if that's what you want to do.",green,xln,,,
Jungle Delver,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379468/large/145751_200w.jpg?1505504709,0.5,,"Here's a secret: Don't play Jungle Delver. It's too small and the ability is too expensive, even in a Merfolk deck.",green,xln,,,
Kumena's Speaker,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377538/large/144828_200w.jpg?1504650147,1.5,,"In blue-green, this is a fine playable, but outside of that I think I'll pass. I don't want my 2/2 relying on having other creatures in play, as a 2/2 isn't even that good once the game gets to turn 5 or 6.",green,xln,,,
Merfolk Branchwalker,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378914/large/merfolk_branch.png?1505510152,3.5,,"I really like the cost and stats on this one. Every deck will gladly play as many of these as they can-even control. It doesn't count as branching into aggro if your 2-drop draws you a card, right?",green,xln,,,
New Horizons,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379478/large/145753_200w.jpg?1505504725,1.5,,"Gift of Paradise ended up being a bit better than it looked, and this does have more of an effect on the board. That said, you do need to be a serious ramp deck before this does what you are looking for.",green,xln,,,
Old-Growth Dryads,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376300/large/144539_200w.jpg?1504290487,0,,"This is an aggressive rating, but it's for a reason. I do think it's possible that this fits into an aggro deck, but it seems horrendous to me. Compare this to Wanted Scoundrels, for example. A land is a little better than 2 Treasures early, but the main difference is that they get the land when you play this, not many turns later when it dies. Playing this on turn 1 seems like an easy way to lose the game, as the opponent just plays a 3/2 on turn 2 and trades, or a 4/4 on turn 3 or 4. Where it might be good is on turn 3 or 4, alongside another drop, but that seems too situational to count on. Maybe this will grow on me as the format goes on, but my initial impression is that this is quite bad.",green,xln,,,
Pounce,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379486/large/145755_200w.jpg?1505504738,3.5,,"The common fight spell is usually pretty good, and having enrage synergies (plus large creatures) means this doesn't disappoint. Take it, play it, and be happy you have it.",green,xln,,,
Ranging Raptors,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378009/large/145254_200w.jpg?1504822917,3.5,,"This ranges from good to great, and it's very hard to imagine the Raptors doing worse than getting a 1-for-1. Most of the time it'll trade and pick you up a land, which is fantastic, and if you can trigger the ability yourself you will feel like a clever person indeed.",green,xln,,,
Ravenous Daggertooth,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378006/large/145256_200w.jpg?1504822910,1.5,,"As someone who is also always ravenous, this gets a pass from me. It's not a bad card by any stretch, but a 3/2 that trades and gains you 2 life isn't a high priority. You also don't get the life when you need it, so it's not going to save you in many close games.",green,xln,,,
Ripjaw Raptor,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375453/large/142025_200w.jpg?1503948947,4.5,,"Now here is a Raptor that actually belongs in the Hall of Fame. This would be awesome without the enrage ability, and it punishing the opponent for blocking or pointing damage to it seems absurd. I'm definitely slamming this.",green,xln,,,
River Heralds' Boon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379494/large/145757_200w.jpg?1505504753,1,3.5,"I really like this in Merfolk decks, and think it's unplayable outside of them. Getting two +1/+1 counters at instant speed is a giant beating, as you will win combat and be left with a bunch of value. You can spread the counters out or put them in the same place, and combined with +1/+1 counter synergies and hexproof Merfolk, this becomes awesome.",green,xln,,,
Savage Stomp,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377657/large/144969_200w.jpg?1504729715,4,,"The name is perfect here, as this is both savage and a stomping. If you can play a 4-drop Dinosaur and eat their 4-drop on turn 5, you are almost assuredly going to win, and this even has nice enrage bonuses. This is playable outside of Dinosaurs too, so taking it early can never go wrong.",green,xln,,,
Shaper's Sanctuary,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375460/large/142026_200w.jpg?1503948962,1,,"I don't know how this format is shaping up exactly, but I'd be shocked if this wasn't purely a sideboard card. It looks like a very good one since some decks will just get owned by it, but drawing it on turn 5 against a deck with only a few interactions seems too bad to risk.",green,xln,,,
Slice in Twain,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378007/large/145257_200w.jpg?1504822912,0.5,,Green has its sideboard game on point.,green,xln,,,
Snapping Sailback,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378907/large/Snapping-Sailback.png?1505251590,3.5,,"If your opponent attacks into this, you get to snap them off and keep a 5/5. If they are clever and play around it, you aren't even punished, as you get to drop this end of turn and just attack on your turn. A card that's a blowout when it works and still very good when it doesn't is a good card.",green,xln,,,
Spike-Tailed Ceratops,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379507/large/145668_200w.jpg?1505504775,1,,"This won't actually block very many additional creatures because I won't be playing it often. It's kind of a dorky vanilla dude, and you can do better.",green,xln,,,
Thundering Spineback,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378361/large/145273_200w.jpg?1504901313,3,,"7 is a lot of mana, so I'm not over the moon about this, but it's still going to be great when you ramp into it. It's an engine all by itself, and is a legit way to finish the game in a ramp or control deck.",green,xln,,,
Tishana's Wayfinder,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376307/large/144535_200w.jpg?1504290503,3,,Explore cards are still good.,green,xln,,,
Verdant Rebirth,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379519/large/145761_200w.jpg?1505504799,2,,"I have to admit, I'm curious about this card. It's a mediocre way to save a creature, as you have to re-cast it (though that does re-trigger enter-the-battlefield abilities). But it not only is a 2-for-1 when it works-you can effectively cycle it by just firing it off. I think that adds up to enough value that you should almost always play it, and I can see moving up the rating after playing with it a few times.",green,xln,,,
Verdant Sun's Avatar,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375468/large/142027_200w.jpg?1503948978,3.5,,"I like how much life this gives you, as it basically stabilizes the board all by itself. It laughs at bounce, and makes it nearly impossible for your opponent to win a race.",green,xln,,,
Vineshaper Mystic,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379520/large/145762_200w.jpg?1505504801,3.5,,"Given that this can target itself, it's at worst a 2/4 for 3, and often much better than that. This is a real reason to draft Merfolk, and is good even if you don't quite get there.",green,xln,,,
Waker of the Wilds,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375470/large/142028_200w.jpg?1503948982,4.5,,"This effectively draws you a card every time you activate it because lands in the late game are often a resource you have tons of. A 3/3 for 4 that makes 5/5s and 6/6s is awesome, and this is one of the better cards you can open.",green,xln,,,
Wildgrowth Walker,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377662/large/144979_200w.jpg?1504729731,1,3,"In a deck with 5+ explore cards, I'm willing to play this. It's not the worst fail case in the world when you miss, and a 2/4 that gains you 3 is already worth plenty.",green,xln,,,
Angrath's Marauders,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375433/large/142015_200w.jpg?1503948894,2,,"It's pretty odd to have both a 7-mana double striker and a 7-mana double damage creature, but I guess both Pirates and Dinos like doubling. This at least takes effect immediately, opening the door for some sweet alpha strikes if you've got evasive creatures on deck. Still, it's a 7-mana card, and not every deck is in the market for that, on top of the need to have a board presence to begin with in order for this to be good. It is also good with burn spells, which is a nice little upside.",red,xln,,,
Bonded Horncrest,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379523/large/145769_200w.jpg?1505504807,3,,"Aggro decks should snap this up, as the stats are well worth the potential to be stranded. It's definitely not a good fit for control, but the power level is there if you're ready to enable it.",red,xln,,,
