lowScore,review,number,title,set,color,rarity,instant,removal,face,fixing,imageUrl
6.5,"By itself, this is 5/8 worth of stats, 4/4 of which has lifelink. This being in Selesnya, it rarely shows up by itself, making it an incredible amount of stats for its cost. It trades well against removal, and every now and then you'll just blow out a Dimir opponent who stole one of your creatures.",208,Trostani Discordant,drn,green+white,mythic,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Trostani Discordant.png
6.5,"Vraska is quite good, as she can kill small to medium things and lets you cash in your excess permanents for value. She comes in with high loyalty if you use the +2 ability, and all that's really lacking is her ability to defend herself against larger threats. That's all that's keeping her from being a bomb, as she's not a great play into a 4-cost flyer or a Siege Wurm if you don't have a bunch of other ways to defend her. Her ultimate is also the same Vraska ultimate we've seen three times, which is fine for game play, but it would be sweet to hear a new story.",213,"Vraska, Golgari Queen",drn,black+green,mythic,,removal,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Vraska, Golgari Queen.png"
6.5,"The mana cost bites this one too, as it would be a 3.5 if it were a little easier to cast. The combination of stats here is pretty good-this clocks the opponent reliably and can always trade in for whatever their biggest creature is. Some Dimir decks will want to race, and this is a great way to make sure your clock isn't disrupted.",191,Nightveil Predator,drn,blue+black,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Nightveil Predator.png
6.5,"Now this is a build-around, and given its stats, you don't even need to do that much work. If this makes one or two Birds, you're very far ahead, and in a dedicated jump-start deck this will be obscenely good.",45,Murmuring Mystic,drn,blue,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Murmuring Mystic.png
6.5,"A huge flying threat that also replaces itself is very relevant to my interests. This does get docked some for being both hard to cast and requiring spell support, but that is Izzet's jam, and having to take a Guildgate a little higher is well worth what you're getting here. Later in the Draft this can easily move to 4.0, as it is truly awesome when you are in the deck that wants it.",163,Crackling Drake,drn,blue+red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Crackling Drake.png
6.5,"It may take a little work to get Izoni up to a 4.5, but even in a deck with little support she is a 4.0. Making just two bugs (and I have the perfect token for you) is enough, as that's three bodies, good total stats, and a powerful sacrifice ability. Once you are getting 3+ bugs, Izoni will take over the game, and that shouldn't be too hard to pull off by turn 6. Having a bunch of chump blockers that you can crack for a card and a life draws out the game more, and plays nicely into Golgari's grindy strategy. I've got my eye on this, and think it could be one of the best cards in the set.",180,"Izoni, Thousand-Eyed",drn,black+green,rare,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Izoni, Thousand-Eyed.png"
6.5,"This is my new favorite card. It's a little slow, but wow is it sweet. By itself, it puts you up a card, and each time you surveil you are +2 cards (once you spend 3 mana). The discard part does fall off late game, as the opponent will empty their hand, but I'm still all-in on building a deck around this.",167,Disinformation Campaign,drn,blue+black,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Disinformation Campaign.png
6.5,"This is aptly-named, as it will devour the hopes and dreams of your opponent. The combination of card selection, a big flyer (at instant speed no less) and a bounce spell is really hard to fight. This is incredible at any point in the game, regardless of whether you're ahead or behind, and digs you to whatever else you need. That makes this a certified bomb, and a card you'll rarely want to pass.",38,Dream Eater,drn,blue,mythic,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dream Eater.png
6.5,"Not every Izzet deck will want this (I'd want 9+ spells and some card draw first), but if you can support it, Beacon Bolt will be quite powerful. Killing two creatures for 6 mana and your worst card is a great deal, and this scales up nicely. Sometimes the first Bolt takes out a 2/2 and the second kills a 6/6, so it's great that you can use this while waiting for it to power up.",154,Beacon Bolt,drn,blue+red,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Beacon Bolt.png
6.5,"Bizarre art aside (something is off there, I swear), this card should give you an edge in any game you draw it. It attacks as 4/3 worth of stats if you have something to mentor, and first strike makes it hard to block if you have mana up. The damage-prevention ability won't come up too often, but it's completely free, so no harm done.",204,"Tajic, Legion's Edge",drn,red+white,rare,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Tajic, Legion's Edge.png"
6.25,"Whispers turn into howls if this goes unchecked, and it's cheap enough to have a very big impact on the game. You may even be able to slowroll this until you can play this plus a cheap creature in the same turn, guaranteeing the 2-for-1. I'd up my creature count if I had this, but it's great even in a deck with as few as 12-14 creatures, just because the effect is so strong and the cost is relatively low.",123,Beast Whisperer,drn,green,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Beast Whisperer.png
6.25,"Ral follows the standard planeswalker recipe these days (5 loyalty, +1 draw a card, -3 kill a thing), and that makes him quite powerful. You should make sure your deck is heavy on spells to power up the -3 ability but once you do, you will have no complaints about Ral's effectiveness.",195,"Ral, Izzet Viceroy",drn,blue+red,mythic,,removal,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ral, Izzet Viceroy.png"
6,"I wouldn't worry too much about just drafting white creaturesthis is great in any deck, and its death trigger is a bonus. A huge flyer that distributes +1/+1 counters in multiple ways is something I'm in the market for, and if it gives you a little extra incentive to play white creatures over red or green ones, so be it.",19,Light of the Legion,drn,white,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Light of the Legion.png
6,"This whole split card naming convention thing is not really doing it for me, but I guess that there isn't an infinite well of Fire // Ices and Appeal // Authorities. In any case, Connive is excellent and Concoct is very good, so the combination is incredibly strong. Stealing a small-to-medium creature is well worth 4 mana, and having the option of casting this as a powered-up Rise from the Grave (your graveyard only) is a very good addition. I'd play either side of this alone, which is a great sign.",222,Connive // Concoct,drn,blue-black,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Connive -- Concoct.png
5.8,"Midnight Reaper isn't optional, just like all grim reapers, but as long as you keep your life total high this is a fantastic card. It turns all of your other creatures into 2-for-1s, and is great when you're chumping with things like Child of Night or Burglar Rat. Against removal, this will be the first to die, but it triggers off of itself, making it a 2-for-1 at worst.",77,Midnight Reaper,drn,black,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Midnight Reaper.png
5.8,"Cutting a mana off of Deadly Visit and making it an instant is enough to get the 0.5 bump, and I expect this to a very high pick. Plus, you may even snipe a legendary creature, at which point the price is definitely right.",83,Price of Fame,drn,black,uncommon,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Price of Fame.png
5.8,"Talk about burying the lede. It took multiple read-throughs for me to realize that this shuffles itself in on a successful hit, and I'm not the only one. Still, once you understand what this does, you will be duly impressed, as it provides a huge blocker and then kills the creature of your choice when you're ready to cash it in. Even shuffling isn't as big of a drawback as it would normally be, as surveil-heavy decks have the tools to find this Assassin multiple times.",170,"Etrata, the Silencer",drn,blue+black,rare,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Etrata, the Silencer.png"
5.7,"I've had the pleasure of casting this one, and it is as fun as it looks. Drawing three cards and gaining 3 life isn't that hard to do, after which your creatures even get to swing for extra damage. It's trivial getting more than that, at which point you're just enjoying the sweet Selesnya gravy.",157,Camaraderie,drn,green+white,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Camaraderie.png
5.7,"A cheap combat trick plus a removal spell is the same recipe as Integrity // Intervention, and both will play very well. This wins a combat for cheap, and can really wreck some double or triple blocks, while also being an unconditional removal spell.",230,Status // Statue,drn,black-green,uncommon,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Status -- Statue.png
5.7,"Both sides of this are fairly situational (I count needing 7+ mana as situational in the case of Explosion), but that's why split cards are great. Note that you can copy opposing spells with Expansion, so sniping a removal spell is an excellent use of this card. This is a little clunky, but two powerful sides are enough to make me interested, and if you can Explode for 3 or more you should just win the game.",224,Expansion // Explosion,drn,blue-red,rare,instant,removal,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Expansion -- Explosion.png
5.7,"Things are certainly going to get bloody when this thing hits the board, as a 3/1 lifesteal can't be ignored. Your opponent will likely be forced to trade if they want any chance to race, and there are so many surveil cards (28, to be exact) that it won't be hard to bring this back a few times per game. With multiple common Auras that lock this down, don't be afraid to use one of your removal spells on your own Blood Operative if you have ways to get it back.",63,Blood Operative,drn,black,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Blood Operative.png
5.7,"I like power and I like efficiency, so I'm definitely in for a card that has both. 2 mana to kill all but the largest creatures is a great deal, and exiling them to prevent undergrowth shenanigans is some free value. Red got some good uncommon burn spells, and I expect them both to be high picks.",108,Lava Coil,drn,red,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Lava Coil.png
5.7,"If you really want a chance for glory, look here instead. Response means that this is always an efficient removal spell, which is the perfect way to get the situational but powerful finisher into your deck. Being able to cast this as a powered-up Gideon's Reproach 90% of the time helps subsidize the 10% of the time where you cast Resurgence and just win the game. I really love the recipe here, and would gladly take this early.",229,Response // Resurgence,drn,red-white,rare,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Response -- Resurgence.png
5.6,"I like both of these modes, with Assure being especially efficient. You'll cast that one more often, but making Knights is a decent fallback.",221,Assure // Assemble,drn,green-white,rare,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Assure -- Assemble.png
5.6,"Erratic Cyclops is huge, and can attack for large (and appropriately erratic) sums of damage. This is fantastic in a spells deck and pretty solid on defense even in a deck light on spells. The only place I wouldn't want it would be in an aggressive Boros deck that doesn't have enough spells to enable it (you want 6+, some of which are expensive).",98,Erratic Cyclops,drn,red,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Erratic Cyclops.png
5.6,"Dawn of Hope reminds me a little of Mastery of the Unseen, though I suspect it's not insanely broken like Mastery was. This gives you lifelink chumpers that keep you alive, and you get to draw extra cards whenever theSoldiers go into combat, which helps you hit land drops and make more Soldiers. It's a self-fueling engine, and will win any long game easily, while still having an impact as early as the midgame. You can lose fast games with this in play, but whenever it's on the other side of the board, you will feel the crushing grip of inevitability approaching (Mr. Anderson).",8,Dawn of Hope,drn,white,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dawn of Hope.png
5.6,"I love modal cards, and this has three different ones that are all great in the right situation. It's also nice that the 4/3 mode is an incredible fallback, as nothing special has to be going on for you to want that. I'm going to enjoy playing with this card, even though it will be more often in Constructed than Limited.",183,Knight of Autumn,drn,green+white,rare,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Knight of Autumn.png
5.6,"Playing around this might just be impossible. It represents 9 points of damage, making it really difficult to survive if you don't block, and it heavily swings combat if you do put blockers in front of their creatures. It even has the potential to be great on defense, and overall this is one of the best Overrun-type effects we've seen in a while (particularly because your opponent may not even see it coming).",124,Bounty of Might,drn,green,rare,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Bounty of Might.png
5.5,"Unconditional removal that might cost 1 or even 0 mana is really high on my list when it comes to Limited, and Conclave Tribunal offers just that. Even if you always pay full retail, this will be a solid card, and the turns where you get to convoke this out are going to be filthy. Curving into this for free on turn 4 or 5 will dramatically swing most games, and this is good no matter when you draw it.",6,Conclave Tribunal,drn,white,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Conclave Tribunal.png
5.5,"If you build your deck to maximize Emmara, she has a high top end. Back her up with a pump spell or removal spell and she starts going off, or just do the obvious thing and tap her to convoke cards. Emmara takes work, but she's great in the good Selesnya decks, and does exactly what this guild wants to do.",168,"Emmara, Soul of the Accord",drn,green+white,rare,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Emmara, Soul of the Accord.png"
5.5,"2 mana to kill anything is quite a bit better than any common or uncommon removal, and by the time you use this you won't be giving up much by letting the opponent get a free land. Even though you want to use this later in the game (on bigger things), the fact that it costs 2 is a big deal. You can leave up mana to use this as a trick, and cast this plus a spell on the same turn. I'd try and avoid firing this off before turn 5 or so, as earlier does make the mana ramp relevant, but if you have to do that to survive, by all means do so.",152,Assassin's Trophy,drn,black+green,rare,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Assassin's Trophy.png
5.5,"If this rating seems high, it's only because you haven't had the pleasure of playing with Dead Weight before. This has a lot more flexibility than Shock, as you can weaken creatures that are too big to outright kill. That more than makes up for the sorcery speed part, and makes this one of the premier black commons. If the format ends up revolving around large creatures, maybe this is a clear second behind Deadly Visit, but the efficiency here is hard to beat.",67,Dead Weight,drn,black,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dead Weight.png
5.5,"I really hope this is good enough, because it looks like a sweet way to get an edge in a longer game. Jump-start is a substantial upgrade to Inspiration, as this does eventually see four cards, albeit for a large mana investment. In order to take full advantage of this, you'll want to be a more controlling deck, and have plenty of ways to stabilize so that you can crush the opponent with all of your extra cards.",32,Chemister's Insight,drn,blue,uncommon,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Chemister's Insight.png
5.5,"Weeeeeeeeeeeeeeee! Izzet decks can't do much better than a 3/3 (or even 5/3) flyer for 3 mana, and it's not hard for this to play that part. Left unchecked, this will end the game very quickly, and have fun doing so.",214,Wee Dragonauts,drn,blue+red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Wee Dragonauts.png
5.5,"I almost want to give this a 3.5, just because of how important it is in the good Boros decks. I think it's a tiny bit short, but that still puts it at the top of the list of Boros commons. This clocks in for reliable damage every turn, and even gets to be a great Mentor target. Haste is especially nice with Mentor, as you can start the turn with just a Mentor creature and out of nowhere get the benefit of it attacking.",198,Skyknight Legionnaire,drn,red+white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Skyknight Legionnaire.png
5.5,"You know what's great when you have a bunch of tokens? Even more tokens! That actually is true, because you can just swarm the opponent, and don't underestimate lifelink, even on 1/1s. That buys you a ton of time and makes racing untenable for the opponent. This is amazing if you tap three creatures to cast it, is good with two, and still plausible at one.",188,March of the Multitudes,drn,green+white,mythic,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/March of the Multitudes.png
5.5,"In a creature-heavy deck, this will grow consistently and quickly. That makes it a great deal for 1 mana, as it's good early and still solid late.",141,Pelt Collector,drn,green,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Pelt Collector.png
5.5,"The same is true for Dimir Spybug, as one surveil is all it takes to make this a worthy inclusion. Once you are surveilling multiple times, it's all gravy, and the fact that this is nearly impossible to block is nice upside as well.",166,Dimir Spybug,drn,blue+black,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dimir Spybug.png
5.5,"Surveil 1 each turn is a big game, and this pecks in for damage while you're at it. Even without the surveil payoffs this is a great card, and I'd be happy to start any Draft with it.",48,Nightveil Sprite,drn,blue,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Nightveil Sprite.png
5.5,"A lone 2/2 may stop this from doing all that much, but if you can remove their blockers, this spirals out of control in no time. I'd jam my deck full of combat tricks if I had Warboss, as the opponent try to trade for this 100% of the time.",109,Legion Warboss,drn,red,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Legion Warboss.png
5.4,"I don't mind jumping through hoops to get something as sick as this. Conclave Cavalier is a great deal before even considering the death trigger, and once you add that you end up with one of the best creatures in the set. A 4/4 vigilance that doesn't lose you stats when it dies is absurd, and this will trounce anyone without an Aura or exile-based removal.",161,Conclave Cavalier,drn,green+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Conclave Cavalier.png
5.4,"This is awkward against Selesnya, as that deck is full of overcosted creatures, but it should be effective against the other four guilds. Setting this up doesn't seem too hard, and it isn't that bad if you have to kill one or two of your own creatures in the process, especially if you are enabling undergrowth.",84,Ritual of Soot,drn,black,rare,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ritual of Soot.png
5.4,"In decks with a lot of surveil, this will be one of your better cards. Not only will it grow to threatening proportions, a cheap defensive body is exactly what a deck full of fiddly surveil cards wants. This is bound to be underrated, and I'm a big fan.",55,Thoughtbound Phantasm,drn,blue,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Thoughtbound Phantasm.png
5.4,"A Snapping Drake with haste is good enough already, and given enough jump-start cards, you may even be able to get this back (if you're lucky). Either way, I'll take a good aggressive flyer with upside, and would be glad to play this in Boros or a beatdown Izzet deck.",91,Arclight Phoenix,drn,red,mythic,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Arclight Phoenix.png
5.4,"Boros Challenger is a beating early and still relevant later in the game, which is exactly what Boros is looking for. It can mentor your 1-drops without any help, and if you have mana lying around, can even teach larger creatures after you pump it.",156,Boros Challenger,drn,red+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Boros Challenger.png
5.4,"Killing anything and getting to surveil 2 is about as close to Annihilate as we are going to get at common. This is excellent removal, and I think I'd take the first one of these over Dead Weight, though I'd likely alternate after that.",68,Deadly Visit,drn,black,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Deadly Visit.png
5.4,"I'm in love with this card. It does a ton of tricky stuff, and does so for not much mana. As a straight-up removal spell, it's good, and it can remove multiple blockers or stop multiple attackers with ease. I'm slamming this if I'm Dimir, and will play as many as I can get my hands on.",151,Artful Takedown,drn,blue+black,common,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Artful Takedown.png
5.4,"Creepy window peeper or not, this is a card I'll always play. It's a sizable body and surveil 2 is pretty close to drawing a card in the mid-to-late game. Author's Note: I somehow missed that this has flying – that makes it by far the best blue common, and one of the best commons overall. It upgrades the rating to 3.5, and makes it a card you should rarely pass – LSV",59,Watcher in the Mist,drn,blue,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Watcher in the Mist.png
5.4,"This is a solid removal spell. It won't kill every last thing you want, but it will kill enough, and at 2 mana this is not something I'm passing.",182,Justice Strike,drn,red+white,uncommon,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Justice Strike.png
5.4,"Even without the red ability, this would be a great 2-drop in any sort of long game. Luckily, the red ability stacks nicely with the blue one, as drawing extra cards will find you sweet spells to copy. I like League Guildmage, and would happily take it early regardless of what my deck looked like.",185,League Guildmage,drn,blue+red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/League Guildmage.png
5.4,"This is going to end a lot of games. 6 damage to the face is a ton, and this kills almost anything you could possibly want to kill. I'm more than happy to pay 6 for this effect, and not having to worry about being countered is a nice cherry on top.",107,Inescapable Blaze,drn,red,uncommon,instant,removal,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Inescapable Blaze.png
5.4,"This is a really sweet card. By itself, it's not that much better than your average 2/1, but all three keywords scale up quickly once you add mentor or pump spells to the mix. This is exactly what you want to mentor on to, and I'd take this as a great sign that you should be Boros.",203,Swiftblade Vindicator,drn,red+white,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Swiftblade Vindicator.png
5.4,"I bet you're all ready to hear about how this card is a trap and how you shouldn't play it. Well, the bird is the word once you add mentor and convoke to the mix, so I'm actually high on the hawk. This isn't bad by itself, and becomes great if you can get a +1/+1 counter or two on it, or tap it to convoke out something large. I suspect these will still be a tad overdrafted, but at least they are a good addition to your deck.",14,Healer's Hawk,drn,white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Healer's Hawk.png
5.4,"House Guildmage locks down big threats (for a price) and provides you powerful filtering in the late game. That's plenty of action, and I'd be happy pledging allegiance to House Dimir if I saw this early.",177,House Guildmage,drn,blue+red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/House Guildmage.png
5.4,"In a base red deck, this is a really sweet card. If you can draft an Izzet deck with a ton of jump-start, you might even go off, but it's mostly just a cheap 4/4 (given a few turns).",115,Runaway Steam-Kin,drn,red,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Runaway Steam-Kin.png
5.4,"I'm not sure why, but the tap symbols on all of the Guildmages actually bums me out. It doesn't make them that much worse, but they look a lot less appealing than when they didn't have them. In any case, this is a good aggressive 2-drop that has multiple relevant modes in the mid- and late game. Bear in mind that you're overpaying for either mode, but getting the option to do them both is worth it.",187,Legion Guildmage,drn,red+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Legion Guildmage.png
5.4,"As always, this is one of the best commons in the set, and nothing going on in Ravnica changes that.",21,Luminous Bonds,drn,white,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Luminous Bonds.png
5.4,"Convoke-pump is a sweet deal on a 3-mana 2/2, and making soldiers is a very relevant late game ability. Ledev Champion is self-fueling but also works nicely with convoke cards or token-making, which is exactly what Selesnya is looking to do. Having a card that's a mix of enabler and payoff is pretty great, and helps make your deck much more consistent.",186,Ledev Champion,drn,green+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ledev Champion.png
5.4,"Kraul Harpooner is a bizarre card. It's quite good, as a 3/2 reach for 2 is a fine deal and this will sometimes take down a big flyer, even if it takes quite the wordy text box to get there. Note that it fights, not just deals damage, so that big flyer will often take the Harpooner down with it.",136,Kraul Harpooner,drn,green,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Kraul Harpooner.png
5.4,"Lazav scales very nicely. He starts out as a decent little value creature, and soon turns into a full-blown threat, as he can copy your best dead (or surveilled) creature. This isn't a bomb rare in the traditional sense, but it's an efficient card that performs well at any stage in the game.",184,"Lazav, the Multifarious",drn,blue+black,mythic,,,,,"https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Lazav, the Multifarious.png"
5.4,"The difficulty to cast does come into play here, as RRWW is much harder than RW2. If you can cast this, it's a great way to push damage through, and mentor makes this a must-block. This gets especially nasty with combat tricks, as you can buff this big enough to survive while also having its trigger punch the opponent for 3 or 4 damage (unless the trick is Sure Strike).",209,Truefire Captain,drn,red+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Truefire Captain.png
5.4,"In a 2-color deck, this is still pretty sweet. It's a 2-mana 2/2 that can shoot something when needed, which is relevant at all stages of the game. It's worth playing half-color Gates (like a Dimir Guildgate in an Izzet deck) if you have this, as extra counters are quite valuable. Once you can bring this back, it's a win condition by itself, and will often come out as a 4/4 or 5/5, which is amazing. I'd definitely try and shoot for 5-color if I saw this early, as it's a huge payoff.",232,Chamber Sentry,drn,artifact,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Chamber Sentry.png
5.4,"I smell a win condition for a sweet deck here, as Vivid Renewal will seal the deal if you can get the full three cards back (and aren't dead on board). I like cards like this, and feel that they are usually worth building towards. Here, I'd look to be a 3-color deck, though if the cards are flowing you may be able to pull this off with just one guild.",148,Vivid Revival,drn,green,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Vivid Revival.png
