Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
"Azor, the Lawbringer",Rivals of Ixalan,2WWUU,Legendary Creature  - Sphinx,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421814/large/155629_200w.jpg?1515010928,4,,"It's probably not a revelation that Azor is amazing, as it essentially ends the game with one attack. It even stops the opponent from casting Contract Killing or any other sorcery-speed removal, meaning you're likely to get that hit in most of the time. It blocks well too, and is a bomb even if it's a little hard to cast and in an awkward color pair.",gold,rix,6,6,"Flying. When Azor, the Lawbringer enters the battlefield, each opponent can't cast instant or sorcery spells during that player's next turn. Whenever Azor attacks, you may pay {X}{W}{U}{U}. If you do, you gain X life and draw X cards."
Azor's Gateway,Rivals of Ixalan,2,Legendary Artifact,Artifact,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421865/large/155700_200w.jpg?1515091900,2.5,,"I don't think flipping this is even what you want most of the time, but as a 2-mana looter this does a fine job of preventing mana flood. I could see this going 0.5 in either direction, based on how fast things end up being, and like it a lot in Sealed.",gold,rix,,,"{1}, {T}: Draw a card, then exile a card from your hand. If cards with five or more different converted mana costs are exiled with Azor's Gateway, you gain 5 life, untap Azor's Gateway, and transform it."
Baffling End,Rivals of Ixalan,1W,Enchantment,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421866/large/155676_200w.jpg?1515091903,3.5,,"Efficient removal is always at a premium in Limited, even if 3/3 is probably better than whatever you exiled. Still, this won't get removed often, so that's a minor drawback at most.",white,rix,,,"When Baffling End enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less. When Baffling End leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample."
Belligerent Brontodon,Ixalan,5GW,Creature  - Dinosaur,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377527/large/144786_200w.jpg?1504650128,1.5,,"I'm not a huge fan of 7-mana 6/6s, but this does have a bit more going on. Looming Altisaur is real good pals with the Brontodon, despite his belligerence, and I can imagine it being a solid way to top off your curve.",gold,xln,4,6,Each creature you control assigns combat damage equal to its toughness rather than its power.
Bellowing Aegisaur,Ixalan,5W,Creature  - Dinosaur,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376303/large/144667_200w.jpg?1504290494,3,,"These stats plus an enrage ability that's very dangerous make this a fine addition to any white deck. It's likely to trade for a card and buff your team, and will often go unblocked for many turns as a result (or hold off bigger creatures on defense).",white,xln,3,5,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control."
Bishop of Binding,Rivals of Ixalan,3W,Creature  - Vampire Cleric,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421815/large/155630_200w.jpg?1515010930,4.5,,"Not only is this high-quality removal, it also can function as a 4/4 (or greater) attacker. Usually cards with this exile text don't do much attacking, so adding the ability to brawl makes this truly excellent.",white,rix,1,1,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield. Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card."
Bishop of Rebirth,Ixalan,3WW,Creature  - Vampire Cleric,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375434/large/141993_200w.jpg?1503948896,3.5,,"This is big enough that it should be able to attack productively, and even if it dies on its first expedition, you still get something back. Raising creatures that cost 3 or less means that it's easy to hit as well, where the 2-or-less cards we've seen in the past missed more often than not.",white,xln,3,4,"Vigilance. Whenever Bishop of Rebirth attacks, you may return target creature card with converted mana cost 3 or less from your graveyard to the battlefield."
Bishop of the Bloodstained,Ixalan,3BB,Creature  - Vampire Cleric,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378913/large/bishop.png?1505510095,1.5,3,"In a deck with a light Vampire theme, this doesn't do a lot. It's passable, but you really want to make a huge bloody mess, not just sprinkle a little onto the ground. In a dedicated Vampire deck, this looks like an awesome finisher, and I can imagine it doing 4+ damage easily. Make those tokens and reap the rewards.",black,xln,3,3,"When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control."
Bishop's Soldier,Ixalan,1W,Creature  - Vampire Soldier,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379424/large/145687_200w.jpg?1505504613,2.5,,"I'm in for this in any deck, aggressive or defensive. A 2/2 for 2 that gains you a couple of life is a great deal for 2 mana, and if you can hit unopposed once or twice it's basically checkmate.",white,xln,2,2,Lifelink
Blazing Hope,Rivals of Ixalan,W,Instant,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422203/large/Blazing-Hope-Rivals-of-Ixalan-Spoiler.png?1515194417,1,,"This card is bizarre, and I don't think it's going to end up being great. It largely doesn't work until you're at 5 or less life, and can sit dead in your hand for long enough that it seems weak. It gets better when they have giant monsters, but I still don't have much hope that this is going to be good.",white,rix,,,Exile target creature with power greater than or equal to your life total.
Blight Keeper,Ixalan,B,Creature  - Bat Imp,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379425/large/145777_200w.jpg?1505504617,1,,"Here's one of the 1/1 flyers for 1 that I try to keep you from playing. I can see this being playable in a raid deck, but outside of that it doesn't do enough early and the ability is too expensive to rely on later.",black,xln,1,1,"Flying. {7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life."
Blinding Fog,Ixalan,2G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379426/large/145727_200w.jpg?1505504620,0.5,,"I'm not a big fan of fogs in general, and this can't even save you from dying to an alpha strike (only prevents damage to creatures). It does protect your creatures from removal, but that's not enough to blind me to how bad this is.",green,xln,,,Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. (They can't be the targets of spells or abilities your opponents control.)
Blood Sun,Rivals of Ixalan,2R,Enchantment,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421924/large/155701_200w.jpg?1515173770,0.5,,"This is a good sideboard card against any of the good flip cards, mainly because it replaces itself. If my opponent has a powerful flip card, this is coming in, as it does hose the back side nicely. Just make sure not to get your Evolving Wilds caught, since that is no longer an ability that works with Blood Sun in play.",red,rix,,,"When Blood Sun enters the battlefield, draw a card. All lands lose all abilities except mana abilities."
Bloodcrazed Paladin,Ixalan,1B,Creature  - Vampire Knight,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375435/large/142008_200w.jpg?1503948898,3,,"Off just one trade, this is a 3/3 for 2 mana, and that's not all that hard to accomplish. If you can go bigger than that, you are really doing it, and with some clever maneuvering, you can get a very good deal.",black,xln,1,1,Flash. Bloodcrazed Paladin enters the battlefield with a +1/+1 counter on it for each creature that died this turn.
Blossom Dryad,Ixalan,2G,Creature  - Dryad,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379427/large/145728_200w.jpg?1505504623,2.5,,"As long as your curve has a decent amount of 5+ drops, this is a fine addition. In a beatdown deck, I'd leave it by the wayside, but otherwise I'm in.",green,xln,2,2,{T}: Untap target land.
Bombard,Rivals of Ixalan,2R,Instant,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421925/large/155702_200w.jpg?1515173772,3.5,,"There's not much to say about this one, so I'm not going to bombard you with words. It's an efficient burn spell that kills most things that need killing, and at instant speed.",red,rix,,,Bombard deals 4 damage to target creature.
Bonded Horncrest,Ixalan,3R,Creature  - Dinosaur,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379523/large/145769_200w.jpg?1505504807,3,,"Aggro decks should snap this up, as the stats are well worth the potential to be stranded. It's definitely not a good fit for control, but the power level is there if you're ready to enable it.",red,xln,5,5,Bonded Horncrest can't attack or block alone.
Boneyard Parley,Ixalan,5BB,Sorcery,Black,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375436/large/142009_200w.jpg?1503948900,3,,"Zombie or Fiction seems like a good card to me. It does cost 7 and requires there to have been five creatures killed, but by the time you can cast it that doesn't seem like too tall an order. At that point, you either get two good creatures or three decent ones, assuming the creatures that have died aren't all abysmal. I think that's worth 7 mana and at the top end of a control curve, it could help finish games. You can actually cast it with fewer than five creatures, but it loses a lot of value at that point.",black,xln,,,Exile up to five target creature cards from graveyards. An opponent separates those cards into two piles. Put all cards from the pile of your choice onto the battlefield under your control and the rest into their owners' graveyards.
Brass's Bounty,Rivals of Ixalan,6R,Sorcery,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421750/large/155571_200w.jpg?1514916872,0.5,,"I get the joke (instant ascend), but you can't really tap 7 mana and not affect the board. This might be a way to really go over the top in control mirrors, but even that is a stretch.",red,rix,,,"For each land you control, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Brazen Buccaneers,Ixalan,3R,Creature  - Human Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379428/large/145772_200w.jpg?1505504627,2,,"More aggressive Pirates, more exploring, and more hoping to hit a +1/+1 counter. Ahoy!",red,xln,2,2,"Haste. When Brazen Buccaneers enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Brazen Freebooter,Rivals of Ixalan,3R,Creature  - Human Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421926/large/155703_200w.jpg?1515173773,1.5,,"Sometimes you need more Pirates, and sometimes you want Treasure. If that's the case, feel free to play this, but don't expect big things-a 3/3 for 4 isn't special, and 1 Treasure doesn't change that too much.",red,rix,3,3,"When Brazen Freebooter enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Bright Reprisal,Ixalan,4W,Instant,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379429/large/145691_200w.jpg?1505504631,2,,"This card isn't as good as it looks-trust me. I'd always play it in a defensive deck, but I'd have second thoughts about playing it in any proactive deck. When this kills a 5/5 attacker, it seems like the best card ever, but against a wary opponent it runs the risk of rotting in your hand. Don't assume it's always going to be awesome, though it has a real upside if it works.",white,xln,,,Destroy target attacking creature. Draw a card.
Buccaneer's Bravado,Rivals of Ixalan,1R,Instant,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421927/large/155704_200w.jpg?1515173775,2.5,,"This is a pretty sweet combat trick. On non-Pirates, it'll often be enough to win combat (a 3/3 beating a 4/4 passes most tests already), and on a Pirate, it's a beating. This is one of the ways to lose unlosable games, as this plus any pump spell can combine to hit for 10+ while being fine in normal combat. That's a great combat trick, so as long as you have 12+ creatures you will likely run this.",red,rix,,,Choose one —. • Target creature gets +1/+1 and gains first strike until end of turn. • Target Pirate gets +1/+1 and gains double strike until end of turn.
Burning Sun's Avatar,Ixalan,3RRR,Creature  - Dinosaur Avatar,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375437/large/142016_200w.jpg?1503948902,4.5,,"A 6/6 for 6 with a free Searing Blaze attached? Yes please. This is powerful, provides card advantage, and is a bargain at 6 mana. Chomp.",red,xln,6,6,"When Burning Sun's Avatar enters the battlefield, it deals 3 damage to target opponent and 3 damage to up to one target creature."
Cacophodon,Rivals of Ixalan,3G,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422011/large/155764_200w.jpg?1515181106,3,,"The stats are odd, but good. 2/5 is hard to punch through, and the enrage will randomly come in handy. Hunt the Weak is a nice combo, thanks to the high toughness, and it even lets you untap a land. Dino decks will definitely run this, as will most green decks.",green,rix,2,5,"Enrage — Whenever Cacophodon is dealt damage, untap target permanent."
Call to the Feast,Ixalan,2WB,Sorcery,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377528/large/144787_200w.jpg?1504650130,3,,"I wouldn't call this a bomb, but it's still a good early pick. Three 1/1 lifelinkers is an army in a can, and combined with any mass pump effect will put the opponent on the back foot. They also make it very difficult to kill you, as chumping and gaining life goes a long way.",gold,xln,,,Create three 1/1 white Vampire creature tokens with lifelink.
Canal Monitor,Rivals of Ixalan,4B,Creature  - Lizard,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421928/large/155716_200w.jpg?1515173785,1,,"A 5-mana 5/3 is not a good deal-it has too low a toughness, and costs too much. I guess all the good monitor jobs go to the ones guarding the spires, and the canals are left to the bottom of the barrel.",black,rix,5,3,
Cancel,Ixalan,1UU,Instant,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379430/large/145741_200w.jpg?1505504634,1.5,,"Cancel always hovers between a 1.0 and a 2.5 or so, with the most likely grade being 1.5. Most formats aren't that kind to 3-mana counters that require double-blue, as the payoff for casting it is that you traded 1-for-1 and the punishment for having it sit in your hand is severe. I'd start by assuming this is marginally playable, and upgrade that if it turns out the format is slow enough.",blue,xln,,,Counter target spell.
Captain Lannery Storm,Ixalan,2R,Legendary Creature  - Human Pirate,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375438/large/142017_200w.jpg?1503948904,3,,"Captain Storm (that's me when I'm Cube drafting, by the way) takes no prisoners, and she gets in there for value as soon as you play her. She attacks as a 3/2 at worst, and can ramp your mana if you don't need to sac the Treasure right away. She's a good addition to any deck, aggressive or controlling, on rate alone.",red,xln,2,2,"Haste. Whenever Captain Lannery Storm attacks, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn."
Captain's Hook,Rivals of Ixalan,3,Artifact  - Equipment,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421763/large/155584_200w.jpg?1514916894,3,,"I love that there is a card named Captain's Hook, and the ability isn't bad either. It is weak to artifact removal, and you lose the ability to pass it back and forth, but it's a nice aggressive equipment at a good rate. It forces double-blocks and the two points of power means that it'll often be a 2-for-1.",gold,rix,,,"Equipped creature gets +2/+0, has menace, and is a Pirate in addition to its other creature types. Whenever Captain's Hook becomes unattached from a permanent, destroy that permanent. Equip {1}"
Captivating Crew,Ixalan,3R,Creature  - Human Pirate,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378924/large/Captivating-Crew-Ixalan-Spoiler.png?1505253894,4,,"Repeatable Threaten is a powerful ability, and you aren't even paying for it, given that this is a perfectly serviceable 4/3 for 4. This is incredibly hard to beat if you had a good aggressive start, though I wouldn't cut it from control decks either. The opponent has to leave tons of blockers back out of respect, giving you extra time to develop your board, and maybe even get up to 8 mana for the double steal. Consider me captivated.",red,xln,4,3,{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.
Carnage Tyrant,Ixalan,4GG,Creature  - Dinosaur,Green,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375439/large/142022_200w.jpg?1503948906,4,,"Apparently this is a lot more mythic than Scaled Behemoth, but I guess being uncounterable and getting trample goes a long way. Regardless of the rarity symbol, this will cause carnage, as it's impossible to stop except via combat, and big enough that it's hard even with creatures. It's nice being able to tap out and slam this, and know that almost nothing can go wrong.",green,xln,7,6,"Carnage Tyrant can't be countered. Trample, hexproof"
Castaway's Despair,Ixalan,3U,Enchantment  - Aura,Blue,Common,,,,,,,,,"Enchant creature. When Castaway's Despair enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Champion of Dusk,Rivals of Ixalan,3BB,Creature  - Vampire Knight,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421929/large/155720_200w.jpg?1515173787,4,,"This counts itself, so already you've got a great deal. It might actually draw too many cards, which is not a complaint I often make. As long as your life total is in reasonable shape, a 4/4 that draws 2-4 cards should win you the game, making this a worthy champion indeed.",black,rix,4,4,"When Champion of Dusk enters the battlefield, you draw X cards and you lose X life, where X is the number of Vampires you control."
Charging Monstrosaur,Ixalan,4R,Creature  - Dinosaur,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378925/large/Charging-Monstrosaur-Ixalan-Spoiler.png?1505253896,3.5,,"Ground Rorix has never been so aptly named, as this charges in and puts a beating on the opponent. If you curve into this, you're going to win easily, and even in a not-great draw this carries a lot of weight. It's just too gigantic and runs over chump blockers, making it an awesome threat.",red,xln,5,5,"Trample, haste"
Charging Tuskodon,Rivals of Ixalan,3RR,Creature  - Dinosaur,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421930/large/155705_200w.jpg?1515173789,2,,"Shouldn't a card with charge be able to attack right away? Besides this oversight, we've got a fine cards on our hands. This will draw blocks more often than not because of how much damage it threatens, and combines nicely with combat tricks. It is pretty replaceable, as a 5-drop, so it's not necessary to take this super early.",red,rix,4,4,"Trample. If Charging Tuskodon would deal combat damage to a player, it deals double that damage to that player instead."
Chart a Course,Ixalan,1U,Sorcery,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378350/large/145262_200w.jpg?1504901292,3,,"At worst, this is draw 2 then discard 1, which is a serviceable deal for 2 mana. At best, it's a straight-up draw 2, and a card I want in any Limited deck. It's not hard to enable this, and you should be happy to have it in every deck. Even aggressive decks, which often don't want card draw, will play this, as you will almost never have to discard thanks to your frequent attacks.",blue,xln,,,Draw two cards. Then discard a card unless you attacked with a creature this turn.
