color,title,lowScore,highScore,review
white,"Danitha Capashen, Paragon",3.5,,"Even excluding the cost reduction on Auras and Equipment, Danitha delivers a beating. A 2/2 with three keywords is quite the threat, and your opponent will constantly fear her gaining an Aura of some kind. She locks up the ground early, chips in for a few damage (and a few life), and later makes the perfect target for any sort of pump spell. As is true with all legendaries, she also makes your historic theme better, which from here on out goes for any legend, to save me the trouble of repeating it (though it is a real bonus)."
white,Daring Archaeologist,3.5,,"This takes a little bit of work, but there are two separate build-around angles here, and both are worth digging into. First of all, this draws you a card if you have an artifact in your graveyard, making it a card advantage engine. Second, if you have a bunch of historic cards, this transforms from a mild-mannered archaeologist to an Indian Jones-esque combat machine. You can play this for either side, even if they overlap a lot, and I would be happy to take this early and see how it goes. This doesn't belong in a museum-it belongs in your deck."
white,Dauntless Bodyguard,3,,"This card is a sweet design, and I think it will play quite well to boot. It's a 1-mana beater that is highly relevant if you draw it later, as it can protect whatever your best creature is. I like this even in a control deck, as I'm always in the market for early drops that are good at all points of the game."
white,Dub,2,,"All right, I'm going to try and get it right on this powerful Aura, as I feel like I tend to undervalue these things. I will say that it's hard to gauge exactly how formats play out, and how much removal there is, but the last couple sets have come with powerful Auras that ended up being high picks. Once you turn something into a Knight, it becomes nearly unstoppable in combat, and hits for a couple extra damage. That's enough to get me interested, and I think this is going to range from good to great in aggressive decks (even if you sometimes side it out against removal)."
white,"Evra, Halcyon Witness",3,,"This card is very powerful, in that it can have a very high power. It mostly plays as a 4/4 lifelink, but if you get a hit in after switching, things really get going. I wouldn't quite call this a bomb, because it is a 6-cost 4/4 that needs to live to get value, and really needs to live to hit twice to really go off."
white,Excavation Elephant,2.5,,"It may be an artifact of past formats, but I kind of like the 3/5 for 5 statline, and the ability to draw a card later in the game is real upside. Once you have 3-4 artifacts that are likely to hit the bin, this is a card I prize, though before that it's more suited for sieges than for digging."
white,Fall of the Thran,1.5,,"If this is the best the Thran can muster, it's no wonder they fell. Armageddon is great when you are winning, but this costs 6 instead of 4, and starts giving the lands back (though you do get first crack at spending the mana). Boom // Bust didn't usually work out very well, and this is reminiscent of that-when you are winning, casting a 6-mana common creature is likely better than this, which doesn't speak well of our first Saga."
white,Gideon's Reproach,3,,"There's nothing wrong with Gideon's Reproach, and it plays well in aggro and control decks alike. Granted, it's a little better in control because they get to block before you cast this when you're beating down, but this is a staple common and one you'll always be happy to run."
white,Healing Grace,1,,"Power creep is just out of control. In just 25 years, we went from Healing Salve to this. I guess that makes this the white Ancestral Recall? It's not actually good, though if you have a lot of creatures that are of similar size to the opponent, or the game comes down to a race, it could be a good sideboard card."
white,History of Benalia,4,,"3 mana for two Knights and a mini-Overrun is incredible value-some might even say mythic amounts (why is this a mythic?). I'd slam this and not even care if I had other Knights, though I would bias my pick order slightly toward them."
white,Invoke the Divine,0.5,,"In a shocking twist, this gets a sideboard grade. It's a fine offering out of the board, and it might make the main deck in Sealed (I'd need to play a little more to be sure)."
white,Knight of Grace,3.5,,"A 2/2 first striker for 2 would easily be a 3.0, and the extra abilities are quite nice. Against black decks, this edges toward a 4.0 in terms of value, so I'd slam this early and often. I also really like the ""hexproof from black"" design space-it does protection in a way that doesn't feel totally hopeless. A 3/2 first strike that is immune to black removal is a beating, but can be overcome by enough power and toughness."
white,Knight of New Benalia,2,,"Where a 3/1 for 2 lands is almost a test of how much I'll like the format-when it's great, it's probably a bit fast for my taste. I'm guessing this comes in as solid playable, which makes me happy-board position will matter, but you probably aren't just dead if you miss your 2-drop."
white,"Kwende, Pride of Femeref",2,,"Femeref may be proud of this guy, but I don't think I would be. You aren't going to end up with all that many first-strikers, and a 2/2 double-striker for 4 is nothing to write home about. He does combine well with pump spells, so there is that at least."
white,Lyra Dawnbringer,4.5,,"I'd play this as long as I had three to four other Angels, and also if I had one to two, or zero. This is just Baneslayer Angel, and Baneslayer is a bomb. The only thing keeping this from a flat 5 rating is that it does die to removal/bounce, though lifelink means it brings you back even when you're losing badly."
white,Mesa Unicorn,2.5,,"Bishop's Soldier ended up being very good, even in the slightly-slower world of Rivals, so I have high hopes for Mesa Unicorn. It's no Mesa Pegasus (banding is unreal-don't look it up unless you have a lot of time), but it's good on turn 2 and good late with pump spells."
white,On Serra's Wings,3.5,,"I'm coming in high on this because of how much of a payoff it is. Often, it will be good even if you only get one hit in. If you can slap this on something and have it live, you likely just win the game. It does lose some luster in removal-heavy matchups, but I doubt I'd side this out unless they were packing some real heat."
white,Pegasus Courser,3,,"Aggressive white decks will play this as a matter of course, and even defensive decks can get behind a 1/3 flyer for 3. This can play defense until it's time to end the game, at which point it can get things over with very quickly. I actually like the stats on this a lot, as it makes it a much more interesting card than the 2/1 version."
white,Sanctum Spirit,3,,"I could see giving this a bump if you have 5+ historic cards to discard, because a 0-mana protection spell is a huge swing. If you can imagine playing this on turn 4, and discarding a card after blocking their 3-drop, you really are getting into the spirit of things. In fact, I bet most opponents won't attack into this or block when you attack, which makes this a high-value play even with no support (though the effect is lessened in games 2 and 3, assuming the opponent pays attention to your plays)."
white,Seal Away,3.5,,"A 2-mana Assassinate is sweet, and making it an instant is an enormous upgrade. This does lose a little luster in aggro, but it's so efficient that I'm never turning it down."
white,Sergeant-at-Arms,3,,"I love kicker. A powerful 6-mana play that you can also run out on 3 is great, and I am totally behind more of these being printed. This gets even better when you have go-wide support, but don't get me wrong-this is great in any white deck."
white,Serra Angel,4,,"Serra is a classic-she plays both sides of the court, and does so with power and grace."
white,Serra Disciple,1.5,,"My guess is that you won't have the density this requires to be good enough, since I'd want 10+ historic cards to be happy."
white,"Shalai, Voice of Plenty",4.5,,"In a nongreen deck, this is ""just"" a 4.0, but adding an insanely powerful late-game ability makes me very happy. The hexproof line is kind of flavor text because your opponent will want to kill this first anyway, but it can protect your creatures from situational removal that may not be able to hit Shalai. She's plenty good regardless, and I shall be happy first-picking her."
white,"Teshar, Ancestor's Apostle",3.5,4,"Teshar can be a whiff if you're short on cheap creatures and historic spells, but I bet she's a potent build-around if you see her early enough. Casting 0-mana Resurrections is a big game, and she generates a ton of value when left unchecked. If you can, try to save her until you can play her and a cheap historic spell in the same turn."
white,Tragic Poet,0.5,,"A timeless tragedy and a perennial sideboard card, Tragic Poet hasn't changed since the first printing nearly 20 years ago."
white,Triumph of Gerrard,3.5,,"Triumph of Gerrard is a beating when you live long enough to see act 3, and at only 2 mana, is fast enough to make that possible. If your deck is creature-light, maybe skip this, but even in midrange or control I'd run this as a finisher if I had enough creatures."
white,Urza's Ruinous Blast,1,3.5,"In a deck without support, this is literally uncastable. That isn't good. In a deck with 5+ legendary permanents, it can be awesome, though it does get ruined if the opponent has sick legends of their own. My guess is that this isn't worth going after from pick one, but can provide a good angle of attack in a deck that already has a few legends by the time you see this."
blue,Academy Drake,3.5,,"A Wind Drake that can become an Air Elemental is an incredibly powerful common. Casting this on turn 3 is going to be pretty good, and casting it on turn 7+ is even better. Being good in both spots is a quality most people are going to underrate, and this is the perfect example of the power of flexibility."
blue,Academy Journeymage,3.5,,"I was a big fan of Ogre Savant, and sometimes this comes out for 4 mana. That's a premium common, and one that doesn't ask a whole lot from you-if you've got a few Wizards, awesome, and if not, this is still fine."
blue,The Antiquities War,0,,"There just aren't nearly enough artifacts floating around to make this worth tinkering with. It's cool, and might be sweet in Constructed, but it's good for absolutely nothing in Limited."
blue,Arcane Flight,2.5,,"This again? Is it mandatory that we have some kind of Spectral Flight in every set? I'm guessing this will be solid, though 1-mana +1/+1 is on balance worse than 2-mana +2/+2 (except in Constructed). This is cheap and grants evasion, so it will be playable. Oh well, beats."
blue,Artificer's Assistant,1.5,,"I'm largely unimpressed by this little bird-you need to trigger this 2-3 times for it to be exciting, and I don't think that'll happen most of the time. The payoff isn't not worth building around, leaving this in the uncanny valley of needing support but not paying you when you provide it. Where I'm most optimistic is in a blue aggro deck, which could happen (blue-red tempo for example)."
blue,Befuddle,1.5,,"This is a 2-for-1 when it works, but is expensive and doesn't help you kill anything larger, so I'm not very high on it. If you have room for some air, this is fine, though I doubt that'll be the case in most decks."
blue,Blink of an Eye,3,,"I'm in for any number of these, and in any kind of deck. Cantrip bounce is very powerful, and you can cast this for 2 mana in a pinch. With multiple great bounce spells at common, I'm eyeing tempo decks-maybe blue is the beatdown this time around."
blue,Cloudreader Sphinx,3.5,,"Wow, blue is not messing around when it comes to commons. I really don't think my pro-blue bias is leading to higher ratings here-these cards are just very pushed. A 3/4 flyer for 5 is solid, and not out of this world, but adding scry 2 all of a sudden makes it really appealing. By the time you have five mana, lands aren't great draws, so this can mimic a draw 2 quite nicely. I want two of these in every blue deck, and would love to curve Blink of an Eye into them."
blue,Cold-Water Snapper,NaN,2.5,"This at least doesn't have flying, but one Arcane Flight later and that is no longer true. I would snap this up if I had two to three Auras to put on it, but avoid it otherwise. It's too expensive to be good unless you're buffing it."
blue,Curator's Ward,0,,"OK, this kind of hexproof I can accept. This looks atrocious to me-it is too expensive to be good as just protection, and pays you off with a Divination sometimes when the thing dies."
blue,Deep Freeze,3,,"This card has a range. In aggressive decks that attack on the ground, it's quite bad, but in control or flying decks it's basically hard removal. I'd lean toward taking it and aiming for the skies because it is so good when it's on, especially given that it removes abilities. The parade of good blue commons just doesn't end."
blue,Diligent Excavator,1,,"Some of the uncommons, on the other hand, aren't much to write home about. There really isn't a mill deck, and given how hard it is to get multiples of this, I don't think I'd go digging for one. There's a small amount of U/B self-mill incentive, but not enough to make me take this highly."
blue,Divination,2,,"I could see bumping this plus or minus half a point depending on format speed, and even if I like the card, I'm not insane. It's a fine way to hit land drops and smooth out draws in a slow deck, and far from what you want to be doing in aggro."
blue,Homarid Explorer,1.5,,"If you want a Hill Giant (or Mill Giant), this is fine, but the ability isn't all that impressive."
blue,In Bolas's Clutches,4.5,,"A 6-mana Control Magic that gives you two legendary permanents is a great deal, and certainly one of the best cards in the set. This is such a huge swing that you will win most games where the opponent doesn't have bounce or enchantment removal, which is still great at 6 mana."
blue,Karn's Temporal Sundering,0.5,,"The effect here isn't all that impressive, sweet art notwithstanding, and you won't be able to cast this all the time. Taking an extra turn is historically only great when you are winning, and requiring you to jump through a hoop to do so really negates a lot of the value. Save this one for Constructed."
blue,Merfolk Trickster,3.5,,"Merfolk Trickster lives up to its name-you can use it to tap a creature precombat, or after they attack to remove flying or first strike (or any other combat-relevant ability). It can also be used proactively to get damage through, and at the end of the day is a 2/2 for 2 as well. This card seems sweet, and I look forward to playing with it."
blue,The Mirari Conjecture,1,3.5,"In a spell-heavy deck, this can be an awesome finisher. Imagine a deck with 10-14 spells, where you curve removal into removal into this. All of a sudden you get two spells back and then get to copy them, putting the opponent into a huge hole. If you can afford to spend 5 mana and not affect the board, my theory is that this is awesome, though it'll be a blank card unless you really do the work to make it good."
blue,"Naban, Dean of Iteration",1.5,3,"The range is a little narrower on Naban, with a 2/1 for 2 being fine even without text and double-triggering all your Wizards being less impressive than copying all your spells. Most Wizard decks will want this, but it's not a strong enough build-around that I'm looking to slam it early."
blue,"Naru Meha, Master Wizard",3.5,,"Naru, on the other hand, is much more appealing. A flash lord is a game changer, and she also is big enough to brawl by herself. If you can pick up some cheap spells, she really shines, and all of that together makes for a solid card. You have multiple deck-building paths to choose from, all of which are good."
blue,Opt,1.5,,"Unless you have spells-matter cards, this is usually an easy card to cut. It's just hard to make room for air like this, even if it always does well if you have to include it."
blue,Precognition Field,1,,"I may not be able to see the future, but I sure can predict losing with this in play. This one is a bit expensive for my tastes, as spending 4 mana to start with is a tough sell. At least The Mirari Conjecture gets you your mana back on the turn it copies spells, while this just asks you to dump more mana into it. I'm a sucker for build-arounds, so I'll try this, but I think it's going to be bad."
blue,Relic Runner,1.5,,"Relic Runner plays double-duty as an early drop that can randomly get in for the last 4-6 points. That's worth running some of the time, especially if you want both halves."
blue,Rescue,0.5,,"This is a marginal sideboard card against In Bolas's Clutches, and not much past that. The effect is too narrow and not nearly powerful enough."
blue,Sage of Lat-Nam,1,,"The artifacts in this set are largely bad, and cycling through them isn't a huge upside. Adding a 2-mana 1/2 to the deal isn't exactly a saving grace either."
blue,Sentinel of the Pearl Trident,2,,"There are a ton of flash 3/3s in this set, so I recommend not sending 2/2s into a lot of mana. This can provide decent value if you've got three or more good historic cards, particularly Sagas, and is at least playable even if you don't."
blue,"Slinn Voda, the Rising Deep",0.5,,"10 mana is just so much, and you really need to kick this to get value from it. I might try going deep with Powerstone Shard, but past that I don't see how you are getting the real Slinn Voda to stand up."
blue,Syncopate,2.5,,"The first Syncopate is pretty good, as it's a 2-drop when you have it in your opening hand and still a relevant card later. They do get worse in multiples, as counters can get stranded in your hand, but I'll happily run one to start with."
blue,Tempest Djinn,3.5,,"The mana cost is obviously a real drawback, but I'm not that picky about 4/4 flyers for 3, and this can even grow larger. If you see this early, try to slam blue to the point where you can run 11+ Islands, at which point it will be the best card in your deck."
blue,"Tetsuko Umezawa, Fugitive",3,,"I like Tetsuko-she slips in for 1 without fear, and can really power up your X/1s. She does also help 1/Xs, but those are naturally less exciting, so try and draft a bunch of 3/1s and get busy."
blue,Time of Ice,3.5,,"Time of Ice is extremely powerful, especially in an aggro deck. Locking down two blockers, then bouncing them, is a big tempo swing, and it even prevents the opponent from attacking on the last turn if they did have anything to attack with. It loses a lot of luster the more controlling you get, but this is powerful enough to make me want to take it and draft a tempo deck."
blue,Tolarian Scholar,1,,Zzz.
blue,Unwind,0.5,,"Not only is this a sideboard card, it's much worse than Negate. Untapping three lands on their turn is just not exciting, and paying an extra mana up front is quite bad. Still, it can stop powerful Sagas and protect your cards, so you will sometimes bring it in."
blue,Vodalian Arcanist,1.5,,"I obviously want to draft decks where this is good, but realize that it shouldn't make the cut more than half the time (and it may even be less). If you've got 8+ spells, especially expensive ones, this becomes interesting, but it's filler up until then."
blue,Weight of Memory,1.5,,"5 mana for three cards isn't a great deal, and adding a mill three doesn't exactly turn a bad memory into good tidings. I'd play this in a spell-based deck, but avoid it outside of that."
blue,Wizard's Retort,1.5,,"In a deck with 5+ Wizards, this is passable, but not exciting. Outside of that, it's mostly a sideboard card (though I do like counterspells more in Sealed)."
blue,"Zahid, Djinn of the Lamp",4,,"Zahid is playable without an artifact, and becomes absurd if you can power him out on turn 4. Poor Mahamoti, victim of 25 years of power creep."
black,Blessing of Belzenlok,1.5,,"This is a run-of-the-mill combat trick, though it will have its legendary moments. I'm lukewarm on this in a deck with no legends, and would probably play it if I had two to three brawlers (plus a desire for combat tricks to begin with)."
black,Cabal Evangel,1,,"I'm definitely not an evangelist for 2-drops, and this is a particularly boring one. If your curve needs this, maybe, but I'd be unhappy to run it."
black,Cabal Paladin,1.5,,"I dislike the 4/2 for 4 stat ratio enough that I'd try to avoid running this if at all possible. In an aggressive deck with 6+ ways to trigger it, it can be damaging enough to be worth it, but I bet it gets played way more often than it should."
black,Caligo Skin-Witch,2,,"I'm a big fan of this, and especially like having extra copies to side in against slow decks. It's a 3-for-1 when you kick it even if one of the cards is just a 1/3, and the effect is powerful enough to be worth 6 mana. If the format ends up being slow, this could easily go up in value."
black,Cast Down,4,,"Even if this can't kill some of the biggest and baddest creatures in the set, it's still a hyper-efficient and fairly wide-ranging removal spell. Remember when this used to be a common?"
black,Chainer's Torment,1.5,,"This is my pick for one of the most controversial cards in the set. It looks bad on first blush (you need to be the aggressor, it's weak to bounce/removal), but I can see it really putting the nail in the coffin if the opponent is on the back foot. I really want to get my hands on this, but I'm not super high on it to begin with."
black,Dark Bargain,1.5,,"I feel like I'm going to want one of these in most of my black decks, but multiples aren't appealing, and I don't think it'll be hard to pick 'em up. 4 mana isn't exactly a bargain, even if the effect is strong enough to justify it. I like when my card draw helps me hit land drops (i.e., 3 cost or less) or buries the opponent (draw 3-4 cards). Dark Bargain doesn't quite do either, though I am still interested."
black,Deathbloom Thallid,3,,"The Thallids are in full bloom, and this is one of their most pungent flowers. I would play this in any black deck, and be even happier if I had Thallid synergies. It trades off easily, provides a little value when you do, and is cheap enough to play offense or defense. Take this early and often."
black,Demonic Vigor,1,,"If you have a deck full of creatures with enters-the-battlefield abilities, this gets a little more interesting, but it's not powerful enough to be worth the risk of encountering a bounce spell or removal in response to casting it. Plus, the opponent can sometimes just ignore the creature, which makes this a lot less effective as well."
black,Demonlord Belzenlok,4,,"Demonlord Belzenlok is enormous and leaves you up at least one spell and perhaps more, all for the reasonable cost of 6 mana and a little bit of life. Unless you are getting beaten down badly, this is going to be great, and I'd be happy to take it every time I open it. These are the kinds of bombs I find fun to have in the format-it's a great card, but isn't soul-crushing (despite that being flavorful for a Demon). Sometimes it's a 2- or 3-for-1, but it's no Tetzimoc, and for that I'm thankful."
black,Divest,1,,"I hate cards that become dead after the first 5-6 turns, and targeted discard frequently does. I might side this in against expensive targets, but I don't want a card in my main deck that's a 1-for-1 when it works and misses completely when it doesn't. Even in the best-case scenario, you spent 1 mana and they spent 0."
black,Dread Shade,3.5,,"Even taking into account how color-intensive this, I still think it's worth building toward. You don't have to be mono-black, but you should heavily bias towards black, and if you can end up with around 2-3 black cards this will be a card your opponents dread. After all, if you can cast it, it threatens to be a 6/6 at minimum."
black,Drudge Sentinel,1.5,,"Drudge Sentinel is a bit too pricey for my tastes-I remember when the Drudge only charged a single black mana, but I guess inflation applies everywhere. It just costs a lot to keep this ability up, making it a poor defender, and it doesn't attack for enough that it's a real threat. There's a minor upside of putting Auras on this and bashing, but that doesn't seem like it'll come up all that often."
black,The Eldest Reborn,3.5,,"I'm a big fan of this Saga. It may be a little deceptive, because sacrifice one creature and discard one card aren't traditionally that great in Limited, especially on turns 5/6, but the combination here works out very nicely. Getting three cards, two of which affect the board directly (them losing a creature and you putting the best dead creature into play) is a great deal for 5 mana, and this is definitely enough value to get me interested."
black,Eviscerate,3.5,,"Good, clean removal is always at a premium, and this easily nabs the award for second-best common in the set (I haven't gotten to the first yet, if you have any guesses). This is even splashable, making it that much better to take early. You won't get passed many of these, and there's no limit to how many I'd play."
black,Feral Abomination,1.5,,"Deathtouch is not the most impressive ability on a 5/5, as there's also the mechanic of ""dealing 5 damage,"" and that is quite effective at killing creatures. This does punish double-blocking, and if you need a 6-drop, this is an option, if not a great one."
black,Final Parting,0,,"You just can't pay 5 mana in Limited to gain access to your best card-the difference between that and your average card is not worth such a huge cost. It is funny that it's Diabolic Tutor + Entomb in both effect and mana cost, but as amusing as that is, I'm still not playing it."
black,Fungal Infection,3,,"This is a solid bit of value, and very similar to the legendary Skulduggery (that card really overperformed). Ambushing a blocker is one of the primary use cases here, but winning a combat and having a 1/1 left over is perfectly acceptable as well. I'd always want one of these, and might slam two depending on how the format shapes up."
black,"Josu Vess, Lich Knight",4,,"A 4-mana 4/5 menace is far enough above the normal curve already, and adding a very powerful kicker is just a bonus. Don't get me wrong-you're summoning the army of the damned maybe 5% of the time, if that, but Josu does the trick without it."
black,"Kazarov, Sengir Pureblood",3,,"7 mana is a lot, but this does take over the game if you get to untap with it. You do have to be red to really get the benefit, so treat this as a gold card. Don't go nuts over this either-it's worse than a good common removal spell, even if it's a big rare finisher."
black,Knight of Malice,3.5,,"I didn't even realize during my Knight of Grace review that this gets bigger if you control a white permanent, which shows you how good this text box is. It's cheap, powerful, and efficient, and a card I'm happy to take early."
black,Lich's Mastery,0,,"Meme potential aside, I'm just not into this. It's expensive, doesn't add that much effective life (since you won't have tons of cards in your graveyard), and requires other cards to even do anything. Leave the liching to the experts (I'm willing to offer myself as a sacrifice)."
black,Lingering Phantom,1.5,,"The floor on this is pretty low (it's an under-statted 6-drop with an ability that may never come up), but the ceiling is pretty high too. I can imagine seeing this as a control deck and groaning, as my hand of double Eviscerate is just blank, so there is some value to be had here. I think I like this as a sideboard card against control or a finisher in a control deck with very few creatures (and enough artifacts to bring it back)."
black,Phyrexian Scriptures,4,,"Wrath with suspend 1 doesn't seem like it would be what you want, but adding the ability to keep your best creature dramatically changes the calculus. Plus, you can try to draft other artifact creatures, though that doesn't seem necessary-the card will be great either way. The last ability is flavor text, but that's okay. The first two do enough of the carrying (kind of like me and EFro when we teamed with Cheon)."
black,Rat Colony,1,,"I don't want one of these, much less multiples. I'm glad this doesn't gain toughness, because a pack of these could really be a plague on the format, and we've done that dance before. As is, these are too vulnerable to be worth building around, and will only make the cut if you are really short on 2-drops."
black,Rite of Belzenlok,3.5,,"Look, you can't have Rite of Belzenlok, which presumably summons the Demon himself, and also have Demonlord Belzenlok in the set doing something completely different. What's going on with that? As for the game play, this card looks really strong to me. It summons a 6/6 for 4 mana, even with a two-turn delay, and gives you plenty of chumps to feed to it. It is weak against bounce, but otherwise looks quite good, and you can even throw the tokens in front of attackers if you need to."
black,Settle the Score,3.5,,"This is essentially Eviscerate, and that card is great. It's on balance a tiny bit worse, as BB cost outweighs the upside of exiling, but the difference isn't big enough to warrant a different grade."
black,Soul Salvage,1.5,,"I want exactly one of these in all of my decks (assuming I have at least 14 creatures). It's not a high pick, and it won't salvage a bad Draft, but a solid 2-for-1 is a good way to make sure you have a passable late game."
black,Stronghold Confessor,3,,"As long as you don't misclick and cast this for 1 mana, you'll do pretty well when you play this. A 3/3 menace is a solid body, and the emergency mode of playing a 1-mana chump blocker is an upside."
black,Thallid Omnivore,2,,"In a creature-heavy deck, this is very threatening (sadly, there are no actual Threatens to pair with it). I like this as a finisher for tokens decks or a way to fill out your curve, as the base stats/cost aren't embarrassing either."
black,Thallid Soothsayer,1.5,3.5,"Thallid Soothsayer can be part of a very powerful engine, though it's rather lackluster on its own. Unlike Thallid Omnivore, this is a true build-around, and in a deck that can generate a lot of tokens this can bury the opponent in card advantage."
black,"Torgaar, Famine Incarnate",1.5,3.5,"Torgaar is a card you need to do a little work for, but isn't out of the question even in a normal deck. If your opponent is light on removal/bounce, running this out on turn 4 or 5 sounds like a beating, and Torgaar will end the game quite quickly. Then again, if they do answer it, you probably lose, making it a bit of a feast or famine situation. Torgaar seems sick in Saproling decks, and is a very scary card to face down-a 7/6 that nugs you for 10 is not what you want to see early (or at any point, really). Plus, even sacrificing one creature makes this castable later, so it doesn't even have to be completely all-in."
black,"Urgoros, the Empty One",1.5,,"6 mana for 3 toughness is a rough ratio, since the difference between 4 and 3 toughness on blocks is immense. You may wonder why this is losing so much ground compared to a 4/4, and that is why-this trades for a 3/2 or dies to 3-damage effects. I do like that this gets a card no matter what when it connects, and I would run this if I needed a finisher, but I wouldn't prioritize it."
black,Vicious Offering,3.5,,"This may seem like a high grade for what is essentially Moment of Craving, but adding the ability to trade your worst creature for something big is a huge boon in the late game. This is good early, solid late, and all around a great piece of removal (though it is worse than Eviscerate, even if they are close enough to get the same grade)."
black,"Whisper, Blood Liturgist",1.5,3,"If you have token-makers and creatures with good ETB effects, this is more a shout than a whisper, but in the average deck it's a bit costly. The reward is here, especially since you can do this in response to removal or after blocks, but I wouldn't play this without doing some work to enable it."
black,Windgrace Acolyte,2.5,,"You don't have room for infinite 5s, but this is a solid body and gains a few life, making it an acceptable way to spend your mana. Plus, it enables a minor self-mill theme, which every now and then will help out."
black,"Yargle, Glutton of Urborg",1,,"Mmm, delicious frog-maggot-demon flavor. Yargle is the number one meme card in the set, and despite not being good, is awesome. If you have some ways to grant evasion, maybe this deals some damage, but don't go Yargling and expect it to crush your opponent."
black,Yawgmoth's Vile Offering,1,4,"Now this is a build-around. I'd play all sorts of mediocre legends to make this work, as you will win the vast majority of games when you cast this. It kills their best creature and gives you something awesome, and is well worth trying to set up. I'd want 4+ legends, and ideally they are on the cheaper side, but that seems doable."
red,Bloodstone Goblin,1.5,,"I have this slightly higher than the assorted 2/1s because a) it's bigger (duh) and b) you might get a solid trigger here or there. It's not the stones, but it's a mediocre playable and gets a little better once you have 3-4 cards with kicker. It is annoying that kicker costs tend to be expensive, which flies in the face of this aggressive 2-drop, and menace in particular drops in value quickly."
red,Champion of the Flame,1,,"We've come a long way from Rabid Wombat (a card I thought was awesome back in the day). Still, this doesn't really excite me, as it's very bad before you enchant/equip it and not all that great when you do. In a deck with 5+ ways to buff this, I would try it, but I would not take this early and try to make it my champion."
red,Fervent Strike,2,,"This is a solid combat trick that has a slightly wider range of uses than most. It will win most combats for 1 mana, which is nice, and can every so often be used to swing for a bunch of extra damage. I'd play this in most aggro or midrange decks, though it's not so important to be worth taking early."
red,Fiery Intervention,3,,"5 mana for 5 damage is a perfectly acceptable deal, and tacking on a random Shatter is pure upside. The art on this is pretty on the nose, but hey, at least you get the idea. It's pretty blunt, much like Chandra's tactics."
red,Fight with Fire,4,,"I'm high on this card. For 3 mana, it kills just about anything, which would already make it an easy 3.5. Adding an expensive and powerful kicker really brings it to the next level, as this will end the game basically every time if you can get to 9 mana (either by killing their board or just going directly to the face). This card more than any shows how powerful flexibility is-even if you kick this just 10% of the time, adding that aspect on to an already great card is a surprisingly large upgrade, and I will be taking this almost every time I see it. I only wish it were called Jaya's Rage, which would have been a nice throwback."
red,Fire Elemental,1,,"I love cards from Alpha, though this does not hold up as well as Serra Angel. Play this if your deck is missing 5-drops, but don't expect it to be [fire emoji]. The stats and cost are mediocre at best."
red,Firefist Adept,3,,"I wouldn't quite call this a build-around because it's passable by itself and will naturally deal 2 a lot of the time, especially in blue-red. That said, if you can pick up a couple extra Wizards, the rating does go up, so this is an aspiring 3."
