Card,Set,Mana Cost,Card Type,Color,Rarity,lowScore,highScore,review,power,toughness,text
Glorifier of Dusk,Ixalan,3WW,Creature  - Vampire Soldier,White,Uncommon,3.5,,"This is actually a less glorified version of Serra Angel, but I'm more than willing to pay 4 life to build my own. You don't have to pay the life all that often, and when you do, it's likely to force through damage or save you life on the attack back.",4,4,Pay 2 life: Glorifier of Dusk gains flying until end of turn. Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.
Impale,Rivals of Ixalan,2BB,Sorcery,Black,Common,3.5,,"Efficient and unconditional removal is always good in my book, and this easily wins the race for best black common (even though I don't have a stake in the outcome).",,,Destroy target creature.
Imperial Aerosaur,Ixalan,3W,Creature  - Dinosaur,White,Uncommon,3.5,,"Not only does this give you a 3/3 flyer for 4, which is a gift fit for a king, it also forces through a good chunk of damage. This is a great deal for any deck, and not one I'm leaving by the wayside.",3,3,"Flying. When Imperial Aerosaur enters the battlefield, another target creature you control gets +1/+1 and gains flying until end of turn."
Lightning Strike,Ixalan,1R,Instant,Red,Uncommon,3.5,,"Lightning never strikes twice, especially now that this is uncommon. It's still just as good as every other time we've seen it, as 3 damage for 2 mana is not a deal I'll ever turn down.",,,Lightning Strike deals 3 damage to target creature or player.
Luminous Bonds,Rivals of Ixalan,2W,Enchantment  - Aura,White,Common,3.5,,"Removal is removal, and this should do the trick quite nicely.",,,Enchant creature. Enchanted creature can't attack or block.
Merfolk Branchwalker,Ixalan,1G,Creature  - Merfolk Scout,Green,Uncommon,3.5,,"I really like the cost and stats on this one. Every deck will gladly play as many of these as they can-even control. It doesn't count as branching into aggro if your 2-drop draws you a card, right?",2,1,"When Merfolk Branchwalker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Pious Interdiction,Ixalan,3W,Enchantment  - Aura,White,Common,3.5,,"Unconditional removal with a bit of lifegain attached is always a welcome sight, and Pious Interdiction is even relatively efficient to boot. It doesn't stop activated abilities, but you can't have it all, and this is not going to be a card you will be passing very often.",,,"Enchant creature. When Pious Interdiction enters the battlefield, you gain 2 life. Enchanted creature can't attack or block."
Pounce,Ixalan,1G,Instant,Green,Common,3.5,,"The common fight spell is usually pretty good, and having enrage synergies (plus large creatures) means this doesn't disappoint. Take it, play it, and be happy you have it.",,,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Radiant Destiny,Rivals of Ixalan,2W,Enchantment,White,Rare,3.5,,"In a heavy tribal deck, this is a great card. It's the most effective on Vampires, but any tribe of small creatures you can go deep on will work. Dinos don't need it quite as much, but it's still a solid bonus there. The city's blessing gives you so little that I don't even count it when evaluating the card.",,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). As Radiant Destiny enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance."
Raging Regisaur,Rivals of Ixalan,2RG,Creature  - Dinosaur,Gold,Uncommon,3.5,,"While this may not measure up to the best Raging flavor text (that honor easily goes to Raging Goblin), a 4 mana 4/4 with a highly relevant attack trigger is awesome in any deck. This picks off x/1s, triggers enrage, and can even attack into a 5/5.",4,4,"Whenever Raging Regisaur attacks, it deals 1 damage to target creature or player."
Ranging Raptors,Ixalan,2G,Creature  - Dinosaur,Green,Uncommon,3.5,,"This ranges from good to great, and it's very hard to imagine the Raptors doing worse than getting a 1-for-1. Most of the time it'll trade and pick you up a land, which is fantastic, and if you can trigger the ability yourself you will feel like a clever person indeed.",2,3,"Enrage â€” Whenever Ranging Raptors is dealt damage, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Reaver Ambush,Rivals of Ixalan,2B,Instant,Black,Uncommon,3.5,,"Vanquishing most things you care about is worth 3 mana, making Reaver Ambush premium removal.",,,Exile target creature with power 3 or less.
River's Rebuke,Ixalan,4UU,Sorcery,Blue,Rare,3.5,,"Bouncing your opponent's entire board is quite the bounty, and well worth paying 6 mana for. If you start with this, aim to draft an aggressive deck, and you will be rewarded richly.",,,Return all nonland permanents target player controls to their owner's hand.
Rowdy Crew,Ixalan,2RR,Creature  - Human Pirate,Red,Mythic Rare,3.5,,"Draw three plus discard two at random is definitely upside, and can often be better than just ""draw a card"" (mostly when your hand isn't that good, which is true for me almost all the time). As for how often this will be big, I'll just leave you in the hands of Frank Karsten, PhD. This card is good and you should play it, though it's not a bomb by any stretch.",3,3,"Trample. When Rowdy Crew enters the battlefield, draw three cards, then discard two cards at random. If two cards that share a card type are discarded this way, put two +1/+1 counters on Rowdy Crew."
Seafloor Oracle,Rivals of Ixalan,2UU,Creature  - Merfolk Wizard,Blue,Rare,3.5,,"The floor on this is high, since all it takes is one Merfolk hit before it's paid for itself. Playing this with 1/1 unblockable Merfolk is a great place to be, and makes all the aggressive Merfolk much more appealing. I like tribal build-arounds that look like this, and hope there are plenty.",2,3,"Whenever a Merfolk you control deals combat damage to a player, draw a card."
Shapers of Nature,Ixalan,1GU,Creature  - Merfolk Shaman,Gold,Uncommon,3.5,,"The gold uncommons in this set are on point (except you, Belligerent Brontodon-get your butt into gear). Shapers of Nature is an efficient beater with two very powerful activated abilities, plays well in any deck, and would be especially great in a Merfolk deck.",3,3,"{3}{G}: Put a +1/+1 counter on target creature. {2}{U}, Remove a +1/+1 counter from a creature you control: Draw a card."
Silvergill Adept,Rivals of Ixalan,1U,Creature  - Merfolk Wizard,Blue,Uncommon,3.5,,"This is a fantastic deal at 2 mana and still castable at 5, making it a high priority for any Merfolk deck. I wouldn't play this outside Merfolk, but would slam it if things are looking fishy.",2,1,"As an additional cost to cast Silvergill Adept, reveal a Merfolk card from your hand or pay {3}. When Silvergill Adept enters the battlefield, draw a card."
Vineshaper Mystic,Ixalan,2G,Creature  - Merfolk Shaman,Green,Uncommon,3.5,,"Given that this can target itself, it's at worst a 2/4 for 3, and often much better than that. This is a real reason to draft Merfolk, and is good even if you don't quite get there.",1,3,"When Vineshaper Mystic enters the battlefield, put a +1/+1 counter on each of up to two target Merfolk you control."
Adanto Vanguard,Ixalan,1W,Creature  - Vampire Soldier,White,Uncommon,3,,"A 3/1 aggressive beater that's hard to kill is worth a lot, and it can even get indestructible on defense. If your deck isn't interested in attacking, this loses a good amount of value, but it's still probably worth getting in there.",1,1,"As long as Adanto Vanguard is attacking, it gets +2/+0. Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Atzocan Archer,Ixalan,2G,Creature  - Human Archer,Green,Uncommon,3,,"I like the combo of a solid defender and a nice little ping ability. This will pick off 2/1s, stop 3/3 flyers, and can even trigger your 2/3 or 3/2 enrage creatures (being able to fight your own creatures is uncommon).",1,4,"Reach. When Atzocan Archer enters the battlefield, you may have it fight another target creature. (Each deals damage equal to its power to the other.)"
Chart a Course,Ixalan,1U,Sorcery,Blue,Uncommon,3,,"At worst, this is draw 2 then discard 1, which is a serviceable deal for 2 mana. At best, it's a straight-up draw 2, and a card I want in any Limited deck. It's not hard to enable this, and you should be happy to have it in every deck. Even aggressive decks, which often don't want card draw, will play this, as you will almost never have to discard thanks to your frequent attacks.",,,Draw two cards. Then discard a card unless you attacked with a creature this turn.
Crashing Tide,Rivals of Ixalan,2U,Sorcery,Blue,Common,3,,"You don't need to have a single Merfolk in your deck for this to be good. Bouncing their biggest creature and crashing in is well worth 3 mana if it doesn't cost you a card, and it just gets better from there. If you do have Merfolk, this is straight-up Repulse, which is an excellent card. I like this card, and doubt I'll be passing it often.",,,Crashing Tide has flash as long as you control a Merfolk. Return target creature to its owner's hand. Draw a card.
Curious Obsession,Rivals of Ixalan,U,Enchantment  - Aura,Blue,Uncommon,3,,"Adding +1/+1 to Curiosity is a big game. The extra stats will let your creatures get by theirs more often, and when you have this ability, you want to attack every turn anyway. Plus, if attacks aren't bad, sacrificing this after getting a card or two out of it isn't the end of the world.",,,"Enchant creature. Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card."". At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession."
Dark Nourishment,Ixalan,4B,Instant,Black,Uncommon,3,,"Dark Nourishment at uncommon is a bit surprising, but it's still a fine removal spell and you'll always play it. Being an instant is a relevant upgrade over similar cards we've seen in the past, and against all of the non-Dinosaur decks this should kill whatever needs killing.",,,Dark Nourishment deals 3 damage to target creature or player. You gain 3 life.
Deadeye Brawler,Rivals of Ixalan,2UB,Creature  - Human Pirate,Gold,Uncommon,3,,"I like the stats on this, and deathtouch makes it a great blocker. This is the kind of ascend card I like-it's good without ascend, and naturally makes the game into one that lasts long enough for you to hit ascend. Once you draw a card for each hit, this is annoying to deal with, and probably requires a double-block from the opponent.",2,4,"Deathtouch. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Deadeye Brawler deals combat damage to a player, if you have the city's blessing, draw a card."
Deadeye Rig-Hauler,Rivals of Ixalan,3U,Creature  - Human Pirate,Blue,Common,3,,"This raid trigger is pretty brutal when you're ahead, making this a card that snowballs easily. It also rewards you for having decent evasive creatures, and is big enough that it is still passable to cast it without raid. This is good, and will make the cut in any blue deck that has decent attackers (which should be all of them in this format). Auras took a hit here, what with Crashing Tide and Deadeye Rig-Hauler, which is something to keep in mind.",3,2,"Raid â€” When Deadeye Rig-Hauler enters the battlefield, if you attacked with a creature this turn, you may return target creature to its owner's hand."
Dire Fleet Neckbreaker,Rivals of Ixalan,2BR,Creature  - Orc Pirate,Gold,Uncommon,3,,"Dire Fleet Neckbreaker hits as a 5/2, but that isn't where most of the power is. Where this really shines is when you can drop it and attack with multiple Pirates, preferably menace or flying ones. If you are firmly in R/B Pirates, I'd bump this to a 3.5, as it threatens to deal a ton of damage and let your 2-drops trade up.",3,2,Attacking Pirates you control get +2/+0.
Dusk Legion Zealot,Rivals of Ixalan,1B,Creature  - Vampire Soldier,Black,Common,3,,"I can't ever imagine cutting this from a black deck, regardless of the theme. In Vampires, this is great, and even in Pirates it replaces itself and puts something on the board.",1,1,"When Dusk Legion Zealot enters the battlefield, you draw a card and you lose 1 life."
Evolving Wilds,Rivals of Ixalan,,Land,Land,Common,3,,"I love having this in the format. It just makes mana better across the board, and allows for splashes for time to time, which I view as a positive.",,,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Exultant Skymarcher,Rivals of Ixalan,1WW,Creature  - Vampire Soldier,White,Common,3,,"Not only is this a Vampire, it's also efficient. Non-Vampire decks will be happy to play this, and it's an early pick for Vamps. It does require 9+ Plains to be a consistent turn-3 play, so keep that in mind when selecting it.",2,3,Flying
Fanatical Firebrand,Rivals of Ixalan,R,Creature  - Goblin Pirate,Red,Common,3,,"I'm always putting one of these in my main deck, and could be talked into two if the format lends itself to lots of x/1s. This can also trigger raid and peck in for damage early, while blocking and taking out a 2/1 or 3/1 later. As with all 1-damage effects, be ready to side them in or out as appropriate, based on what your opponent plays.",1,1,"Haste. {T}, Sacrifice Fanatical Firebrand: It deals 1 damage to target creature or player."
Fathom Fleet Boarder,Rivals of Ixalan,2B,Creature  - Orc Pirate,Black,Common,3,,"This is a strong card all around, as a 3/3 for 3 plays well on defense or offense. You'd rather be Pirates, and not lose 2 life, but this is big enough and cheap enough that it's worth playing in any black deck.",3,3,"When Fathom Fleet Boarder enters the battlefield, you lose 2 life unless you control another Pirate."
Goblin Trailblazer,Rivals of Ixalan,1R,Creature  - Goblin Pirate,Red,Common,3,,"Evasive 2-mana creatures are always menacing, and this is no exception. It can easily get 4-6 points in early, is a pain to block later, and combines nicely with combat tricks by forcing double-blocks. Cards like this are what make me think the format can't have slowed down much.",2,1,Menace
Golden Demise,Rivals of Ixalan,1BB,Sorcery,Black,Uncommon,3,,"Golden Demise is going to have a wide range of effectiveness. Against some decks, it's going to be an easy 2- or 3-for-1, and against other decks you'll struggle to kill even one creature. I really liked Fiery Cannonade in triple-Ixalan, and while this is a little trickier to get to use, at least it won't ever miss the opponent's creatures. The city's blessing doesn't matter a ton, but every now and then it'll be a reasonable bonus.",,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn."
Grazing Whiptail,Ixalan,2GG,Creature  - Dinosaur,Green,Common,3,,"Grazing Whiptail is the definition of solid playable. A 3/4 reach for 4 is a good defender and decent attacker, and it's even a relevant creature type.",3,4,Reach
Headstrong Brute,Ixalan,2R,Creature  - Orc Pirate,Red,Common,3,,"Headstrong Brute is going to be one of the aggressive Pirate mainstays in the set, as a 3/3 menace for 3 is a fantastic deal. This will beat the crap out of most opponents, and especially if backed up by removal, can never be effectively blocked. Given that it can't block itself, the normal caveats about not playing this in control decks apply.",3,3,Headstrong Brute can't block. Headstrong Brute has menace as long as you control another Pirate.
Jungleborn Pioneer,Rivals of Ixalan,2G,Creature  - Merfolk Scout,Green,Common,3,,"Jungleborn Pioneer is more than just a token 3-drop, and it may be the best way to halt the opponent's offense at common. It interacts well against menace creatures, 4/2s, and 2/1s, while still trading for the plethora of 3/3s for 3. It also gives you a hexproof token for Aura shenanigans, if you are running those. I like this in any green deck, and have been very impressed so far.",2,2,"When Jungleborn Pioneer enters the battlefield, create a 1/1 blue Merfolk creature token with hexproof. (It can't be the target of spells or abilities your opponents control.)"
Kitesail Corsair,Rivals of Ixalan,1U,Creature  - Human Pirate,Blue,Common,3,,"This is a solid aggressive 2-drop that should fly in any deck, regardless of tribe. I guess blocking is not back on the menu.",2,1,Kitesail Corsair has flying as long as it's attacking.
Kitesail Freebooter,Ixalan,1B,Creature  - Human Pirate,Black,Uncommon,3,,"A Duress with a 1/2 flyer attached is much more interesting, even if it's not a complete freeroll, as the opponent can get their card back with a removal spell. Still, I'd always maindeck this, especially in Pirate/raid decks, and side it out if I saw that my opponent didn't have many targets.",1,2,"Flying. When Kitesail Freebooter enters the battlefield, target opponent reveals his or her hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield."
Legion Conquistador,Both,2W,Creature  - Vampire Soldier,White,Common,3,,"I'll admit-this ended up being a lot better the last time than I expected, and oddly enough, ""last time"" was just one set ago. Having this as a reprint makes a ton of sense, and it's pretty sweet that the Legion continues to conquest. This was good value in Ixalan and will continue to be good value, with slightly more Conquistadors showing up per Draft thanks to Rivals' smaller size.",2,2,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle your library."
Legion's Landing,Ixalan,W,Legendary Enchantment,White,Rare,3,,"A 1/1 lifelink for 1 isn't a good deal, but it's not that hard to flip this, and a land that makes 1/1s for only 3 mana gives you a significant long-game advantage. I have this a bit below premium removal since it does so little on the back foot, though it's going to be a great card in good aggressive draws.",,,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink. When you attack with three or more creatures, transform Legion's Landing."
Lightning-Rig Crew,Ixalan,2R,Creature  - Goblin Pirate,Red,Uncommon,3,,"The Lobbers have upgraded their rig, and now have an extra point of toughness. I like the defensive body in control decks, and like the unblockable damage in aggro decks. All told, this is a card I'm happy to play everywhere, even if I don't have tons of Pirates. Also note that this can attack to trigger raid, if such a thing is needed.",0,5,"{T}: Lightning-Rig Crew deals 1 damage to each opponent. Whenever you cast a Pirate spell, untap Lightning-Rig Crew."
Martyr of Dusk,Rivals of Ixalan,1W,Creature  - Vampire Soldier,White,Common,3,,"I really like Martyr of Dusk. It trades off well, is the perfect Vampire to give stat bonuses to, and is resilient to removal. All of that is a great deal for 2 mana, and I like this even outside of Vampire decks.",2,1,"When Martyr of Dusk dies, create a 1/1 white Vampire creature token with lifelink."
Moment of Craving,Rivals of Ixalan,1B,Instant,Black,Common,3,,"In a fast format, you're always hungry for cheap removal, and this even gives you 2 life as an extra cushion (and plays well with life gain matters cards). It straight-up kills tons of creatures, or works as a combat trick against slightly bigger ones. As someone who has many moments of craving, this is a good one.",,,Target creature gets -2/-2 until end of turn. You gain 2 life.
Mutiny,Rivals of Ixalan,R,Sorcery,Red,Common,3,,"I like this card. It won't always kill exactly what you want to kill, but it's efficient enough that I'll never cut it. It can pick off their second-biggest creature most of the time, and sometimes even get the biggest (if they have multiple creatures of similar size). A 1-mana spell that can kill 2-4 mana creatures easily, and even go bigger, is one I'm interested in.",,,Target creature an opponent controls deals damage equal to its power to another target creature that player controls.
Paladin of Atonement,Rivals of Ixalan,1W,Creature  - Vampire Knight,White,Rare,3,,"This seems annoying to play against. If you have it in play, your opponent can't attack without giving you some good value, and when the Paladin dies, you get a nice bit of life back. It starts to get nuts once you have cards that let you pay life, but even straight-up I think this will end up playing well.",1,1,"At the beginning of each upkeep, if you lost life last turn, put a +1/+1 counter on Paladin of Atonement. When Paladin of Atonement dies, you gain life equal to its toughness."
Paladin of the Bloodstained,Ixalan,3W,Creature  - Vampire Knight,White,Common,3,,"Not only is Paladin of the Bloodstained a solid set of stats (4/3 total), it's spread across two creatures and features some nice lifelink action. I'm in for all that, and would look for rewards for going wide if I picked up a couple of Paladins.",3,2,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Pirate's Cutlass,Ixalan,3,Artifact  - Equipment,Artifact,Common,3,,"I would never cut this from a Pirate deck, and would even run it with as few as 4 Pirates. The rate is solid enough on its own, and if you can get the first equip for free, you've come out way ahead.",,,"When Pirate's Cutlass enters the battlefield, attach it to target Pirate you control. Equipped creature gets +2/+1. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Raptor Companion,Both,1W,Creature  - Dinosaur,White,Common,3,,"I expect 2-drops to still be important, so this is about as good as it was in Ixalan. This one feels a little stranger to reprint, but it will play just fine.",3,1,
Relentless Raptor,Rivals of Ixalan,RW,Creature  - Dinosaur,Gold,Uncommon,3,,"If you somehow end up in an R/W deck that isn't aggressive, this isn't a must-play, but it's solid if your plan is to attack. It sucks that you sometimes just won't be able to cast this (like if they have a 4/4), and a 2-mana 3/3 isn't so amazing that this is an early pick.",3,3,Vigilance. Relentless Raptor attacks or blocks each combat if able.
Run Aground,Ixalan,3U,Instant,Blue,Common,3,,"I'm happy playing Run Aground, as it trades for a card and leaves you either up mana or neutral in almost every case. That plus the ability to mess up combat and disrupt the opponent's plays makes it a solid playable that I'll always run.",,,Put target artifact or creature on top of its owner's library.
Skulduggery,Ixalan,B,Instant,Black,Common,3,,"I really like how this is going to play. It rewards good combat decisions, and can even pick up a 2-for-1 if you get to kill a 1-toughness creature and win a fight. I'd maindeck up to two without a second thought, even if sometimes you do need to side them out.",,,"Until end of turn, target creature you control gets +1/+1 and target creature an opponent controls gets -1/-1."
Sky Terror,Ixalan,RW,Creature  - Dinosaur,Gold,Uncommon,3,,"Gold cards that aren't worth splashing lose a little luster, but this isn't terrorable if you are R/W aggro. I wouldn't first-pick this under most circumstances, but I would be happy playing it.",2,2,"Flying, menace"
Skymarch Bloodletter,Ixalan,2B,Creature  - Vampire Soldier,Black,Common,3,,"An efficient flyer with a drain 1 attached sounds good to me, and I don't imagine this will be riding the sideboard very often. I suppose some control decks might not be looking for this level of aggression, but pretty much everyone else will.",2,2,"Flying. When Skymarch Bloodletter enters the battlefield, target opponent loses 1 life and you gain 1 life."
Storm Fleet Arsonist,Ixalan,4R,Creature  - Orc Pirate,Red,Uncommon,3,,"A 5-mana 4/4 that picks up a 2-for-1 a good chunk of the time seems like a deal to me, and I'm happy running this as the top end of aggro or the middle of the curve in midrange. As long as you have some creatures that can plausibly attack, this will pull its weight. There are decks where sacrificing a land is extremely painful, and even against aggro, this does add up. Resources are resources, and losing one is bad.",4,4,"Raid â€” When Storm Fleet Arsonist enters the battlefield, if you attacked with a creature this turn, target opponent sacrifices a permanent."
Tempest Caller,Ixalan,2UU,Creature  - Merfolk Wizard,Blue,Uncommon,3,,"In aggressive decks, this is a great finisher, while also being fine to run out on turn 5 or 6 to get a couple of damage through. I wouldn't call it a bomb, but it's exactly what aggro needs to close out games.",2,3,"When Tempest Caller enters the battlefield, tap all creatures target opponent controls."
Territorial Hammerskull,Ixalan,2W,Creature  - Dinosaur,White,Common,3,,"The rating here isn't strictly for aggressive decks, as a 2/3 for 3 is passable outside of them, but aggro is where this really hits the nail on the head. If your opponent is trying to block you, this makes things nearly impossible for them, and it's my prediction for the most annoying card by far out of an aggro deck.",2,3,"Whenever Territorial Hammerskull attacks, tap target creature an opponent controls."
Thundering Spineback,Ixalan,5GG,Creature  - Dinosaur,Green,Uncommon,3,,"7 is a lot of mana, so I'm not over the moon about this, but it's still going to be great when you ramp into it. It's an engine all by itself, and is a legit way to finish the game in a ramp or control deck.",5,5,Other Dinosaurs you control get +1/+1. {5}{G}: Create a 3/3 green Dinosaur creature token with trample.
Tishana's Wayfinder,Ixalan,2G,Creature  - Merfolk Scout,Green,Common,3,,Explore cards are still good.,2,2,"When Tishana's Wayfinder enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Traveler's Amulet,Rivals of Ixalan,1,Artifact,Artifact,Common,3,,"Much like Evolving Wilds, I'd play this in most 2-color decks (though it gets worse with tons of 2-drops, unlike Wilds). It enables splashes nicely and is a card I want to open in Sealed.",,,"{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library."
